pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
34173093,Oxidative Stress: Pathogenetic Role in Diabetes Mellitus and Its Complications and Therapeutic Approaches to Correction.,"The review presents modern views about the role of oxidative stress reactions in the pathogenesis of types 1 and 2 diabetes mellitus and their complications based on the analysis of experimental and clinical studies. The sources of increased ROS generation in diabetes are specified, including the main pathways of altered glucose metabolism, oxidative damage to pancreatic β-cells, and endothelial dysfunction. The relationship between oxidative stress, carbonyl stress, and inflammation is described. The significance of oxidative stress reactions associated with hyperglycemia is considered in the context of the ""metabolic memory"" phenomenon. The results of our studies demonstrated significant ethnic and age-related variability of the LPO-antioxidant defense system parameters in patients with diabetes mellitus, which should be considered during complex therapy of the disease. Numerous studies of the effectiveness of antioxidants in diabetes mellitus of both types convincingly proved that antioxidants should be a part of the therapeutic process. Modern therapeutic strategies in the treatment of diabetes mellitus are aimed at developing new methods of personalized antioxidant therapy, including ROS sources targeting combined with new ways of antioxidant delivery.",Bulletin of experimental biology and medicine,2021-May,"Darenskaya MA, Kolesnikova LI, Kolesnikov SI",3,1277,diabetes,2025-11-02 18:32:01
34708622,"Diabetes mellitus: an overview of the types, symptoms, complications and management.","The incidence of diabetes mellitus is rapidly increasing, and this condition often results in significant metabolic disease and severe complications. Nurses have a crucial role in monitoring, educating and supporting people with diabetes, as well as their families and significant others. This article provides an overview of the main types and common symptoms of diabetes, its acute and long-term complications and its management. It also outlines the nurse's role in diabetes care, which frequently includes assessing and empowering patients.",Nursing standard (Royal College of Nursing (Great Britain) : 1987),2022-Jan,Cloete L,1,544,diabetes,2025-11-02 18:32:01
36507649,2. Classification and Diagnosis of Diabetes: Standards of Care in Diabetes-2023.,"The American Diabetes Association (ADA) ""Standards of Care in Diabetes"" includes the ADA's current clinical practice recommendations and is intended to provide the components of diabetes care, general treatment goals and guidelines, and tools to evaluate quality of care. Members of the ADA Professional Practice Committee, a multidisciplinary expert committee, are responsible for updating the Standards of Care annually, or more frequently as warranted. For a detailed description of ADA standards, statements, and reports, as well as the evidence-grading system for ADA's clinical practice recommendations and a full list of Professional Practice Committee members, please refer to Introduction and Methodology. Readers who wish to comment on the Standards of Care are invited to do so at professional.diabetes.org/SOC.",Diabetes care,2023-Jan,"ElSayed NA, Aleppo G, Aroda VR, Bannuru RR, Brown FM, Bruemmer D, Collins BS, Hilliard ME, Isaacs D, Johnson EL, Kahan S, Khunti K, Leon J, Lyons SK, Perry ML, Prahalad P, Pratley RE, Seley JJ, Stanton RC, Gabbay RA, on behalf of the American Diabetes Association",21,822,diabetes,2025-11-02 18:32:01
33962641,Variability of risk factors and diabetes complications.,"Several studies suggest that, together with glucose variability, the variability of other risk factors, as blood pressure, plasma lipids, heart rate, body weight, and serum uric acid, might play a role in the development of diabetes complications. Moreover, the variability of each risk factor, when contemporarily present, may have additive effects. However, the question is whether variability is causal or a marker. Evidence shows that the quality of care and the attainment of the target impact on the variability of all risk factors. On the other hand, for some of them causality may be considered. Although specific studies are still lacking, it should be useful checking the variability of a risk factor, together with its magnitude out of the normal range, in clinical practice. This can lead to an improvement of the quality of care, which, in turn, could further hesitate in an improvement of risk factors variability.",Cardiovascular diabetology,2021-May,"Ceriello A, Prattichizzo F",2,928,diabetes,2025-11-02 18:32:01
35577617,Diabetic ketoacidosis.,"Diabetic ketoacidosis (DKA) is a form of a hyperglycemic emergency mainly characterized by the triad of hyperglycemia, ketosis, and anion gap metabolic acidosis. DKA may be the initial presentation in approximately 25-40 % of patients with type 1 diabetes. It may also occur in at least 34% of patients with type 2 diabetes. DKA has economic as well as medical implications. This review aims to explore and discuss diabetic ketoacidosis, its pathophysiology, clinical presentation, diagnosis, and management, including nuances in special populations such as pediatrics, obstetrics, and patients with chronic kidney disease.",Disease-a-month : DM,2023-Mar,"Calimag APP, Chlebek S, Lerma EV, Chaiban JT",4,623,diabetes,2025-11-02 18:32:01
34764939,The Utility of Exosomes in Diagnosis and Therapy of Diabetes Mellitus and Associated Complications.,"Diabetes mellitus and the associated complications are metabolic diseases with high morbidity that result in poor quality of health and life. The lack of diagnostic methods for early detection results in patients losing the best treatment opportunity. Oral hypoglycemics and exogenous insulin replenishment are currently the most common therapeutic strategies, which only yield temporary glycemic control rather than curing the disease and its complications. Exosomes are nanoparticles containing bioactive molecules reflecting individual physiological status, regulating metabolism, and repairing damaged tissues. They function as biomarkers of diabetes mellitus and diabetic complications. Considering that exosomes are bioactive molecules, can be obtained from body fluid, and have cell-type specificity, in this review, we highlight the multifold effects of exosomes in the pathology and therapy of diabetes mellitus and diabetic complications.",Frontiers in endocrinology,2021-,"Sun Y, Tao Q, Wu X, Zhang L, Liu Q, Wang L",6,948,diabetes,2025-11-02 18:32:01
33298413,2. Classification and Diagnosis of Diabetes: <i>Standards of Medical Care in Diabetes-2021</i>.,"The American Diabetes Association (ADA) ""Standards of Medical Care in Diabetes"" includes the ADA's current clinical practice recommendations and is intended to provide the components of diabetes care, general treatment goals and guidelines, and tools to evaluate quality of care. Members of the ADA Professional Practice Committee, a multidisciplinary expert committee (https://doi.org/10.2337/dc21-SPPC), are responsible for updating the Standards of Care annually, or more frequently as warranted. For a detailed description of ADA standards, statements, and reports, as well as the evidence-grading system for ADA's clinical practice recommendations, please refer to the Standards of Care Introduction (https://doi.org/10.2337/dc21-SINT). Readers who wish to comment on the Standards of Care are invited to do so at professional.diabetes.org/SOC.",Diabetes care,2021-Jan,,0,849,diabetes,2025-11-02 18:32:01
35711119,Insulin-dependent diabetes mellitus in older adults: Current status and future prospects.,"The recent increase in life expectancy has resulted in an increase in the number of older adults with diabetes mellitus. In addition to type 2 diabetes, in which aging is a well-known risk factor, individuals with type 1 and other types of diabetes are also increasing owing to longevity in the general population and improved prognosis of the disease and comorbidities. Insulin-dependent state in type 1 diabetes and other types of diabetes, such as diabetes after pancreatectomy, inevitably requires insulin treatment for survival; however, daily injection of insulin is often hampered in older adults due to impaired cognitive function or limited activities of daily living. In this review, we aimed to discuss the current situation of insulin-dependent diabetes mellitus in older adults and highlight future prospects. Geriatr Gerontol Int 2022; 22: 549-553.",Geriatrics & gerontology international,2022-Aug,"Ikegami H, Hiromine Y, Noso S",3,862,diabetes,2025-11-02 18:32:01
39556629,Diabetic Ketoacidosis: Evaluation and Treatment.,"Diabetic ketoacidosis (DKA) is a life-threatening complication of type 1 and type 2 diabetes resulting from an absolute or relative insulin deficiency. It can occur in patients of all ages and can be the initial presentation of diabetes, especially in young children. Polyuria and polydipsia are the most common symptoms, followed by nausea, vomiting, abdominal pain, weight loss, severe fatigue, dyspnea, and preceding febrile illness. Traditionally, DKA has been diagnosed by the triad of hyperglycemia (blood glucose greater than 250 mg/dL), metabolic acidosis (pH less than 7.3, serum bicarbonate less than 18 mEq/L, anion gap greater than 10 mEq/L), and elevated serum (preferred) or urine ketones. However, hyperglycemia has been de-emphasized in recent guidelines because of the increasing incidence of euglycemic DKA. The use of sodium-glucose cotransporter-2 inhibitors modestly increases the risk of DKA and euglycemic DKA. Electrolytes, phosphate, blood urea nitrogen, creatinine, urinalysis, complete blood cell count with differential, A1C, and electrocardiography should be evaluated for all patients diagnosed with DKA to identify causes and complications of DKA. Amylase, lipase, hepatic transaminase levels, troponin, creatine kinase, blood and urine cultures, and chest radiography are additional tests to consider. Treatment involves fluid and electrolyte replacement, insulin, treatment of precipitating causes, and close monitoring to adjust therapy and identify complications. Prevention strategies include identifying diabetes before DKA develops, educating patients to manage high-risk situations, and ensuring uninterrupted access to therapies for diabetes.",American family physician,2024-Nov,"Veauthier B, Levy-Grau B",2,1682,diabetes,2025-11-02 18:32:01
30961501,The Growing Epidemic of Diabetes Mellitus.,"During the past decades, the prevalence of diabetes (DM) has increased significantly, mainly as a result of continuous rise in the incidence of type 2 DM. According to World Health Organization statistics, >422 million adults globally were suffering from DM in 2014 and a continuous rise in DM prevalence is expected. The present review considers recent epidemiological data providing worldwide estimates regarding the incidence of DM. A comprehensive literature search was conducted to identify available data from epidemiological studies evaluating the current burden of DM. Over the past few decades the prevalence of DM has risen significantly in nearly all countries and may be considered as a growing epidemic. Urbanization and income status are major factors which influence current rates in the prevalence studies introducing interesting differences between several population groups. Having recognized the global burden of DM, we now realize the urgent need for effective interventions. In order to monitor the public-health strategies and design effective future interventions we need reliable global estimates regarding the prevalence of DM.",Current vascular pharmacology,2020-,"Lovic D, Piperidou A, Zografou I, Grassos H, Pittaras A, Manolis A",6,1152,diabetes,2025-11-02 18:32:01
