pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
38635718,Interferon-<b>γ</b> and infectious diseases: Lessons and prospects.,"Infectious diseases continue to claim many lives. Prevention of morbidity and mortality from these diseases would benefit not just from new medicines and vaccines but also from a better understanding of what constitutes protective immunity. Among the major immune signals that mobilize host defense against infection is interferon-<b>γ</b> (IFN-<b>γ</b>), a protein secreted by lymphocytes. Forty years ago, IFN-<b>γ</b> was identified as a macrophage-activating factor, and, in recent years, there has been a resurgent interest in IFN-<b>γ</b> biology and its role in human defense. Here we assess the current understanding of IFN-<b>γ</b>, revisit its designation as an ""interferon,"" and weigh its prospects as a therapeutic against globally pervasive microbial pathogens.","Science (New York, N.Y.)",2024-Apr,"Casanova JL, MacMicking JD, Nathan CF",3,774,infectious_diseases,2025-11-02 18:32:41
33803407,The Interplay between the Gut Microbiome and the Immune System in the Context of Infectious Diseases throughout Life and the Role of Nutrition in Optimizing Treatment Strategies.,"Infectious diseases and infections remain a leading cause of death in low-income countries and a major risk to vulnerable groups, such as infants and the elderly. The immune system plays a crucial role in the susceptibility, persistence, and clearance of these infections. With 70-80% of immune cells being present in the gut, there is an intricate interplay between the intestinal microbiota, the intestinal epithelial layer, and the local mucosal immune system. In addition to the local mucosal immune responses in the gut, it is increasingly recognized that the gut microbiome also affects systemic immunity. Clinicians are more and more using the increased knowledge about these complex interactions between the immune system, the gut microbiome, and human pathogens. The now well-recognized impact of nutrition on the composition of the gut microbiota and the immune system elucidates the role nutrition can play in improving health. This review describes the mechanisms involved in maintaining the intricate balance between the microbiota, gut health, the local immune response, and systemic immunity, linking this to infectious diseases throughout life, and highlights the impact of nutrition in infectious disease prevention and treatment.",Nutrients,2021-Mar,"Wiertsema SP, van Bergenhenegouwen J, Garssen J, Knippels LMJ",4,1247,infectious_diseases,2025-11-02 18:32:41
34530712,"""Big Three"" Infectious Diseases: Tuberculosis, Malaria and HIV/AIDS.","Infectious diseases have been evolving and re-evolving over the ages and causing immense misery to humans. Among them, some have been prevented and eradicated, but few are still threatening the modern era since their origin. The majority of these infectious diseases are poverty-driven, hence highly prevalent in the lower-income and mid-income countries of Africa and Asia. The world's deadliest infections, including Tuberculosis, Malaria and HIV/AIDS, have been considered as the ""Big Three"" infectious diseases (BTIDs). With leading infections and deaths every year, the BTIDs have been recognized as the world's greatest pandemics. In light of these alarming situations, this review has been aimed to provide a comprehensive overview of the current status of chemotherapeutics, associated challenges and future perspectives of BTIDs.",Current topics in medicinal chemistry,2021-,"Makam P, Matsa R",2,838,infectious_diseases,2025-11-02 18:32:41
34350458,Clinical Practice Guideline by the Pediatric Infectious Diseases Society and the Infectious Diseases Society of America: 2021 Guideline on Diagnosis and Management of Acute Hematogenous Osteomyelitis in Pediatrics.,"This clinical practice guideline for the diagnosis and treatment of acute hematogenous osteomyelitis (AHO) in children was developed by a multidisciplinary panel representing Pediatric Infectious Diseases Society (PIDS) and the Infectious Diseases Society of America (IDSA). This guideline is intended for use by healthcare professionals who care for children with AHO, including specialists in pediatric infectious diseases, orthopedics, emergency care physicians, hospitalists, and any clinicians and healthcare providers caring for these patients. The panel's recommendations for the diagnosis and treatment of AHO are based upon evidence derived from topic-specific systematic literature reviews. Summarized below are the recommendations for the diagnosis and treatment of AHO in children. The panel followed a systematic process used in the development of other IDSA and PIDS clinical practice guidelines, which included a standardized methodology for rating the certainty of the evidence and strength of recommendation using the GRADE (Grading of Recommendations Assessment, Development and Evaluation) approach. A detailed description of background, methods, evidence summary and rationale that support each recommendation, and knowledge gaps can be found online in the full text.",Journal of the Pediatric Infectious Diseases Society,2021-Sep,"Woods CR, Bradley JS, Chatterjee A, Copley LA, Robinson J, Kronman MP, Arrieta A, Fowler SL, Harrison C, Carrillo-Marquez MA, Arnold SR, Eppes SC, Stadler LP, Allen CH, Mazur LJ, Creech CB, Shah SS, Zaoutis T, Feldman DS, Lavergne V",20,1287,infectious_diseases,2025-11-02 18:32:41
36140733,Next Generation and Other Sequencing Technologies in Diagnostic Microbiology and Infectious Diseases.,"Next-generation sequencing (NGS) technologies have become increasingly available for use in the clinical microbiology diagnostic environment. There are three main applications of these technologies in the clinical microbiology laboratory: whole genome sequencing (WGS), targeted metagenomics sequencing and shotgun metagenomics sequencing. These applications are being utilized for initial identification of pathogenic organisms, the detection of antimicrobial resistance mechanisms and for epidemiologic tracking of organisms within and outside hospital systems. In this review, we analyze these three applications and provide a comprehensive summary of how these applications are currently being used in public health, basic research, and clinical microbiology laboratory environments. In the public health arena, WGS is being used to identify and epidemiologically track food borne outbreaks and disease surveillance. In clinical hospital systems, WGS is used to identify multi-drug-resistant nosocomial infections and track the transmission of these organisms. In addition, we examine how metagenomics sequencing approaches (targeted and shotgun) are being used to circumvent the traditional and biased microbiology culture methods to identify potential pathogens directly from specimens. We also expand on the important factors to consider when implementing these technologies, and what is possible for these technologies in infectious disease diagnosis in the next 5 years.",Genes,2022-Aug,"Hilt EE, Ferrieri P",2,1479,infectious_diseases,2025-11-02 18:32:41
37909789,MicroRNAs in infectious diseases: potential diagnostic biomarkers and therapeutic targets.,"MicroRNAs (miRNAs) are conserved, short, non-coding RNAs that play a crucial role in the post-transcriptional regulation of gene expression. They have been implicated in the pathogenesis of cancer and neurological, cardiovascular, and autoimmune diseases. Several recent studies have suggested that miRNAs are key players in regulating the differentiation, maturation, and activation of immune cells, thereby influencing the host immune response to infection. The resultant upregulation or downregulation of miRNAs from infection influences the protein expression of genes responsible for the immune response and can determine the risk of disease progression. Recently, miRNAs have been explored as diagnostic biomarkers and therapeutic targets in various infectious diseases. This review summarizes our current understanding of the role of miRNAs during viral, fungal, bacterial, and parasitic infections from a clinical perspective, including critical functional mechanisms and implications for their potential use as biomarkers and therapeutic targets.",Clinical microbiology reviews,2023-Dec,"Kimura M, Kothari S, Gohir W, Camargo JF, Husain S",5,1055,infectious_diseases,2025-11-02 18:32:41
34037806,Arginine-dependent immune responses.,"A growing body of evidence indicates that, over the course of evolution of the immune system, arginine has been selected as a node for the regulation of immune responses. An appropriate supply of arginine has long been associated with the improvement of immune responses. In addition to being a building block for protein synthesis, arginine serves as a substrate for distinct metabolic pathways that profoundly affect immune cell biology; especially macrophage, dendritic cell and T cell immunobiology. Arginine availability, synthesis, and catabolism are highly interrelated aspects of immune responses and their fine-tuning can dictate divergent pro-inflammatory or anti-inflammatory immune outcomes. Here, we review the organismal pathways of arginine metabolism in humans and rodents, as essential modulators of the availability of this semi-essential amino acid for immune cells. We subsequently review well-established and novel findings on the functional impact of arginine biosynthetic and catabolic pathways on the main immune cell lineages. Finally, as arginine has emerged as a molecule impacting on a plethora of immune functions, we integrate key notions on how the disruption or perversion of arginine metabolism is implicated in pathologies ranging from infectious diseases to autoimmunity and cancer.",Cellular and molecular life sciences : CMLS,2021-Jul,"Martí I Líndez AA, Reith W",2,1317,infectious_diseases,2025-11-02 18:32:41
32829577,Application of Next Generation Sequencing in Laboratory Medicine.,"The rapid development of next-generation sequencing (NGS) technology, including advances in sequencing chemistry, sequencing technologies, bioinformatics, and data interpretation, has facilitated its wide clinical application in precision medicine. This review describes current sequencing technologies, including short- and long-read sequencing technologies, and highlights the clinical application of NGS in inherited diseases, oncology, and infectious diseases. We review NGS approaches and clinical diagnosis for constitutional disorders; summarize the application of U.S. Food and Drug Administration-approved NGS panels, cancer biomarkers, minimal residual disease, and liquid biopsy in clinical oncology; and consider epidemiological surveillance, identification of pathogens, and the importance of host microbiome in infectious diseases. Finally, we discuss the challenges and future perspectives of clinical NGS tests.",Annals of laboratory medicine,2021-Jan,"Zhong Y, Xu F, Wu J, Schubert J, Li MM",5,927,infectious_diseases,2025-11-02 18:32:41
33573529,Protection against severe infectious disease in the past.,"Before the 20<sup>th</sup> century many deaths in England, and most likely a majority, were caused by infectious diseases. The focus here is on the biggest killers, plague, typhus, smallpox, tuberculosis, cholera, typhoid, dysentery, childhood infections, pneumonia, and influenza. Many other infectious diseases including puerperal fever, relapsing fever, malaria, syphilis, meningitis, tetanus and gangrene caused thousands of deaths. This review of preventive measures, public health interventions and changes in behavior that reduced the risk of severe infections puts the response to recent epidemic challenges in historical perspective. Two new respiratory viruses have recently caused pandemics: an H1N1 influenza virus genetically related to pig viruses, and a bat-derived coronavirus causing COVID-19. Studies of infectious diseases emerging in human populations in recent decades indicate that the majority were zoonotic, and many of the causal pathogens had a wildlife origin. As hunter-gatherers, humans contracted pathogens from other species, and then from domesticated animals and rodents when they began to live in settled communities based on agriculture. In the modern world of large inter-connected urban populations and rapid transport, the risk of global transmission of new infectious diseases is high. Past and recent experience indicates that surveillance, prevention and control of infectious diseases are critical for global health. Effective interventions are required to control activities that risk dangerous pathogens transferring to humans from wild animals and those reared for food.",Pathogens and global health,2021-May,Mercer A,1,1615,infectious_diseases,2025-11-02 18:32:41
39256346,Emerging and reemerging infectious diseases: global trends and new strategies for their prevention and control.,"To adequately prepare for potential hazards caused by emerging and reemerging infectious diseases, the WHO has issued a list of high-priority pathogens that are likely to cause future outbreaks and for which research and development (R&D) efforts are dedicated, known as paramount R&D blueprints. Within R&D efforts, the goal is to obtain effective prophylactic and therapeutic approaches, which depends on a comprehensive knowledge of the etiology, epidemiology, and pathogenesis of these diseases. In this process, the accessibility of animal models is a priority bottleneck because it plays a key role in bridging the gap between in-depth understanding and control efforts for infectious diseases. Here, we reviewed preclinical animal models for high priority disease in terms of their ability to simulate human infections, including both natural susceptibility models, artificially engineered models, and surrogate models. In addition, we have thoroughly reviewed the current landscape of vaccines, antibodies, and small molecule drugs, particularly hopeful candidates in the advanced stages of these infectious diseases. More importantly, focusing on global trends and novel technologies, several aspects of the prevention and control of infectious disease were discussed in detail, including but not limited to gaps in currently available animal models and medical responses, better immune correlates of protection established in animal models and humans, further understanding of disease mechanisms, and the role of artificial intelligence in guiding or supplementing the development of animal models, vaccines, and drugs. Overall, this review described pioneering approaches and sophisticated techniques involved in the study of the epidemiology, pathogenesis, prevention, and clinical theatment of WHO high-priority pathogens and proposed potential directions. Technological advances in these aspects would consolidate the line of defense, thus ensuring a timely response to WHO high priority pathogens.",Signal transduction and targeted therapy,2024-Sep,"Wang S, Li W, Wang Z, Yang W, Li E, Xia X, Yan F, Chiu S",8,2012,infectious_diseases,2025-11-02 18:32:41
