pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
39189413,European Society of Cardiology: the 2023 Atlas of Cardiovascular Disease Statistics.,"This report from the European Society of Cardiology (ESC) Atlas Project updates and expands upon the 2021 report in presenting cardiovascular disease (CVD) statistics for the ESC member countries. This paper examines inequalities in cardiovascular healthcare and outcomes in ESC member countries utilizing mortality and risk factor data from the World Health Organization and the Global Burden of Disease study with additional economic data from the World Bank. Cardiovascular healthcare data were collected by questionnaire circulated to the national cardiac societies of ESC member countries. Statistics pertaining to 2022, or latest available year, are presented. New material in this report includes contemporary estimates of the economic burden of CVD and mortality statistics for a range of CVD phenotypes. CVD accounts for 11% of the EU's total healthcare expenditure. It remains the most common cause of death in ESC member countries with over 3 million deaths per year. Proportionately more deaths from CVD occur in middle-income compared with high-income countries in both females (53% vs. 34%) and males (46% vs. 30%). Between 1990 and 2021, median age-standardized mortality rates (ASMRs) for CVD decreased by median >50% in high-income ESC member countries but in middle-income countries the median decrease was <12%. These inequalities between middle- and high-income ESC member countries likely reflect heterogeneous exposures to a range of environmental, socioeconomic, and clinical risk factors. The 2023 survey suggests that treatment factors may also contribute with middle-income countries reporting lower rates per million of percutaneous coronary intervention (1355 vs. 2330), transcatheter aortic valve implantation (4.0 vs. 153.4) and pacemaker implantation (147.0 vs. 831.9) compared with high-income countries. The ESC Atlas 2023 report shows continuing inequalities in the epidemiology and management of CVD between middle-income and high-income ESC member countries. These inequalities are exemplified by the changes in CVD ASMRs during the last 30 years. In the high-income ESC member countries, ASMRs have been in steep decline during this period but in the middle-income countries declines have been very small. There is now an important need for targeted action to reduce the burden of CVD, particularly in those countries where the burden is greatest.",European heart journal,2024-Oct,"Timmis A, Aboyans V, Vardas P, Townsend N, Torbica A, Kavousi M, Boriani G, Huculeci R, Kazakiewicz D, Scherr D, Karagiannidis E, Cvijic M, Kapłon-Cieślicka A, Ignatiuk B, Raatikainen P, De Smedt D, Wood A, Dudek D, Van Belle E, Weidinger F",20,2384,cardiology,2025-11-22
37059409,Cardiology and lifestyle medicine.,"Poor lifestyle habits, such as physical inactivity and poor diets, are highly prevalent within society and even more so among patients with chronic disease. The need to stem poor lifestyle habits has led to the development of a new field of Lifestyle Medicine, whose mission is to prevent, treat, and even reverse chronic diseases through lifestyle interventions. Three fields within Cardiology relate to this mission: Cardiac Rehabilitation, Preventive Cardiology, and Behavioral Cardiology. Each of these three fields have contributed substantially to the reduction of cardiovascular disease (CVD) morbidity and mortality. The historic contributions of these three cardiac fields are reviewed as well as the challenges each of these fields has faced in optimizing the application of lifestyle medicine practices. A shared agenda between Cardiology and the American College of Lifestyle Medicine could further the utilization of behavioral interventions. This review suggests seven steps that could be shared by these organizations and other medical societies. First, there is a need to develop and promulgate the assessment of lifestyle factors as ""vital signs"" during patient visits. Second, developing a strong partnership between the fields of Cardiology and Physiatry could improve important aspects of cardiac care, including a potential redesign of cardiac stress testing. Third, behavioral evaluations should be optimized at patients' entrée points into medical care since these may be considered ""windows of opportunity"". Fourth, there is a need to broaden cardiac rehabilitation into inexpensive programs and make this program eligible for patients with risk factors but no known CVD. Fifth, lifestyle medicine education should be integrated into the core competencies for relevant specialties. Sixth, there is a need for inter-societal advocacy to promote lifestyle medicine practices. Seventh, the well-being effects of healthy lifestyle behaviors, such as their impact on one's sense of vitality, should be emphasized.",Progress in cardiovascular diseases,2023-,"Rozanski A, Blumenthal JA, Hinderliter AL, Cole S, Lavie CJ",5,2032,cardiology,2025-11-22
39681730,Curriculum interventional cardiology-Austria.,"The curriculum for interventional cardiology outlines a structured training program for advanced training in interventional procedures. It specifies requirements for candidates, trainers, and centers. The curriculum specifically defines learning objectives, competence levels, and essential skills needed for on-duty shift in the catheterization laboratory. The program is based on the European Core Curriculum, tailored to Austrian healthcare needs, and aims to ensure high-quality care.",Wiener klinische Wochenschrift,2024-Dec,"Kammerlander A, Berger R, Binder RK, Dörler J, Frick M, Gremmel T, Mader A, Kammler J, Rab A, Geppert A, Schober A, Niessner A",12,488,cardiology,2025-11-22
36921651,Bullying in Cardiology: Pakistan's Perspective.,"This survey aimed to investigate the extent of bullying among junior physicians in cardiology departments, by way of an anonymous web-based questionnaire in Pakistan. A survey of Pakistan cardiology trainees was piloted as a cross-sectional qualitative survey of junior cardiologists (including resident physicians and senior registrars) from teaching institutes all over Pakistan. Negative Acts Questionnaire-Revised was used as the tool for monitoring and reporting bullying nationwide. Of 1852 trainees, bullying was reported by 10.2% of males and 13.4% of females. Women had higher odds of reporting being bullied (odds ratio [OR] {95% confidence interval [CI]}: 1.42 [1.07-2.36]; P-value = 0.018), and the religious minority group (Hindu) reported more bullying (OR [95% CI]: 3.27 [2.16-4.73]; P-value < 0.001). Women were more likely than men to report sexist language (24.1% vs 7.5%; P-value < 0.001) while men reported more racist language (4.2% vs 16.5%; P-value < 0.001). Consultants in cardiology (75.4%) and other specialties (68.3%) commonly perpetrated bullying on cardiology trainees. Bullying in cardiology is a common finding and proportionally affects both males and females, religious minorities, and trainees working in tertiary care hospitals. In addition, females are reporting more sexist language being used by consultants as the majority.",Current problems in cardiology,2023-Jul,"Rashid S, Ullah A, Satti DI, Malik J, Iqbal H, Mehmoodi A, Ashraf W",7,1363,cardiology,2025-11-22
39199412,Facilities in Molecular Biomarkers in Cardiology.,"This Special Issue of <i>Biomolecules</i>, entitled ""Molecular Biomarkers in Cardiology 2022-2023"", presents a comprehensive collection of research and reviews exploring the rapidly evolving field of cardiovascular biomarkers [...].",Biomolecules,2024-Aug,"Scicchitano P, Cameli M",2,232,cardiology,2025-11-22
37003673,Artificial Intelligence in Nuclear Cardiology.,"Artificial intelligence (AI) encompasses a variety of computer algorithms that have a wide range of potential clinical applications in nuclear cardiology. This article will introduce core terminology and concepts for AI including classifications of AI as well as training and testing regimens. We will then highlight the potential role for AI to improve image registration and image quality. Next, we will discuss methods for AI-driven image attenuation correction. Finally, we will review advancements in machine learning and deep-learning applications for disease diagnosis and risk stratification, including efforts to improve clinical translation of this valuable technology with explainable AI models.",Cardiology clinics,2023-May,Miller RJH,1,706,cardiology,2025-11-22
38637261,Development and evolution of nuclear cardiology and cardiac PET in Canada.,"Gated radionuclide angiography and myocardial perfusion imaging were developed in the United States and Europe in the 1970's and soon adopted in Canadian centers. Much of the early development of nuclear cardiology in Canada was in Toronto, Ontario and was quickly followed by new programs across the country. Clinical research in Canada contributed to the further development of nuclear cardiology and cardiac PET. The Canadian Nuclear Cardiology Society (CNCS) was formed in 1995 and became the Canadian Society of Cardiovascular Nuclear and CT Imaging (CNCT) in 2014. The CNCS had a major role in education and advocacy for cardiovascular nuclear medicine testing. The CNCS established the Dr Robert Burns Lecture and CNCT named the Canadian Society of Cardiovascular Nuclear and CT Imaging Annual Achievement Award for Dr Michael Freeman in memoriam of these two outstanding Canadian leaders in nuclear cardiology. The future of nuclear cardiology in Canada is exciting with the expanding use of SPECT imaging to include Tc-99m-pyrophosphate for diagnosis of transthyretin cardiac amyloidosis and the ongoing introduction of cardiac PET imaging.",Journal of medical imaging and radiation sciences,2024-Jun,"Ruddy TD, Davies RA, Kiess MC",3,1149,cardiology,2025-11-22
32888693,Innovations in Congenital Interventional Cardiology.,"This article aims to summarize some of the key advances in congenital interventional cardiology over the past few years, from novel imaging technologies, such as virtual reality, fusion imaging, and 3-dimensional printed models, to newly available devices and techniques to facilitate complex procedures including percutaneous pulmonary valve replacement and hybrid procedures. It is an exciting time for the field, with rapid development of techniques, devices, and imaging tools that allow a minimally invasive approach for many congenital cardiac defects with progressively less radiation and contrast doses.",Pediatric clinics of North America,2020-Oct,"Zablah JE, Morgan GJ",2,611,cardiology,2025-11-22
37088174,Artificial Intelligence in Cardiology: Applications and Obstacles.,"Artificial intelligence (AI) technology is poised to alter the flow of daily life, and in particular, medicine, where it may eventually complement the physician's work in diagnosing and treating disease. Despite the recent frenzy and uptick in AI research over the past decade, the integration of AI into medical practice is in its early stages. Cardiology stands to benefit due to its many diagnostic modalities and diverse treatments. AI methods have been applied to various domains within cardiology: imaging, electrocardiography, wearable devices, risk prediction, and disease classification. While many AI-based approaches have been developed that perform equal to or better than the state-of-the-art, few prospective randomized studies have evaluated their use. Furthermore, obstacles at the intersection of medicine and AI remain unsolved, including model understanding, bias, model evaluation, relevance and reproducibility, and legal and ethical dilemmas. We summarize recent and current applications of AI in cardiology, followed by a discussion of the aforementioned complications.",Current problems in cardiology,2023-Sep,"Danilov A, Aronow WS",2,1092,cardiology,2025-11-22
32370835,Artificial Intelligence in Cardiology: Present and Future.,"Artificial intelligence (AI) is a nontechnical, popular term that refers to machine learning of various types but most often to deep neural networks. Cardiology is at the forefront of AI in medicine. For this review, we searched PubMed and MEDLINE databases with no date restriction using search terms related to AI and cardiology. Articles were selected for inclusion on the basis of relevance. We highlight the major achievements in recent years in nearly all areas of cardiology and underscore the mounting evidence suggesting how AI will take center stage in the field. Artificial intelligence requires a close collaboration among computer scientists, clinical investigators, clinicians, and other users in order to identify the most relevant problems to be solved. Best practices in the generation and implementation of AI include the selection of ideal data sources, taking into account common challenges during the interpretation, validation, and generalizability of findings, and addressing safety and ethical concerns before final implementation. The future of AI in cardiology and in medicine in general is bright as the collaboration between investigators and clinicians continues to excel.",Mayo Clinic proceedings,2020-May,"Lopez-Jimenez F, Attia Z, Arruda-Olson AM, Carter R, Chareonthaitawee P, Jouni H, Kapa S, Lerman A, Luong C, Medina-Inojosa JR, Noseworthy PA, Pellikka PA, Redfield MM, Roger VL, Sandhu GS, Senecal C, Friedman PA",17,1201,cardiology,2025-11-22
