pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
34416977,AGA Clinical Practice Update on Endoscopic Surveillance and Management of Colorectal Dysplasia in Inflammatory Bowel Diseases: Expert Review.,"Improvements in disease management, as well as endoscopic technology and quality, have dramatically changed the way in which we conceptualize and manage inflammatory bowel disease-related dysplasia over the past 20 years. Based on evolving literature, we propose a conceptual model and best practice advice statements for the prevention, detection, and management of colorectal dysplasia in people with inflammatory bowel disease. This expert review was commissioned and approved by the American Gastroenterological Association Institute Clinical Practice Updates Committee and the American Gastroenterological Association Governing Board to provide timely guidance on a topic of high clinical importance to the American Gastroenterological Association membership. It underwent internal peer review by the Clinical Practice Updates Committee and external peer review through standard procedures of Gastroenterology.",Gastroenterology,2021-Sep,"Murthy SK, Feuerstein JD, Nguyen GC, Velayos FS",4,915,gastroenterology,2025-11-22
33080231,AGA Clinical Practice Update on Diagnosis and Management of Immune Checkpoint Inhibitor Colitis and Hepatitis: Expert Review.,"Immune checkpoint inhibitors (ICIs) have transformed the treatment landscape for oncology, leading to durable remissions in a subset of patients, but also a broad range of potentially life-threatening inflammatory toxicities, many of which involve the gastrointestinal (GI) tract and liver. The purpose of this expert review was to update gastroenterologists on the gastrointestinal and hepatic toxicities of ICIs and provide best practice advice on their diagnosis and management. The evidence reviewed in this work combines the expert clinical opinion of the authors with a comprehensive search of several English-language databases and a manual review of relevant publications.",Gastroenterology,2021-Mar,"Dougan M, Wang Y, Rubio-Tapia A, Lim JK",4,680,gastroenterology,2025-11-22
38456869,AGA Clinical Practice Update on Diagnosis and Management of Cannabinoid Hyperemesis Syndrome: Commentary.,"The purpose of this American Gastroenterological Association (AGA) Institute Clinical Practice Update (CPU) is to review the available evidence and provide expert advice regarding diagnosis and management of cannabinoid hyperemesis syndrome. This CPU was commissioned and approved by the AGA Institute Clinical Practice Updates Committee (CPUC) and the AGA Governing Board to provide timely guidance on a topic of high clinical importance to the AGA membership and underwent internal peer review by the CPUC and external peer review through standard procedures of Gastroenterology. This expert commentary incorporates important as well as recently published studies in this field, and it reflects the experiences of the authors.",Gastroenterology,2024-May,"Rubio-Tapia A, McCallum R, Camilleri M",3,728,gastroenterology,2025-11-22
39023502,AGA Clinical Practice Update on Diagnosis and Management of Cyclic Vomiting Syndrome: Commentary.,"The purpose of this American Gastroenterological Association (AGA) Institute Clinical Practice Update (CPU) is to review the available evidence and provide expert advice regarding the diagnosis and management of cyclic vomiting syndrome. This CPU was commissioned and approved by the AGA Institute Clinical Practice Updates Committee (CPUC) and the AGA Governing Board to provide timely guidance on a topic of high clinical importance to the AGA membership, and underwent internal peer review by the CPUC and external peer review through standard procedures of Gastroenterology. This expert commentary incorporates important as well as recently published studies in this field, and it reflects the experiences of the authors who are experts in treating patients with cyclic vomiting syndrome.",Gastroenterology,2024-Sep,"Levinthal DJ, Staller K, Venkatesan T",3,792,gastroenterology,2025-11-22
34736582,COVID-19 and Pediatric Gastroenterology.,"Pediatric gastroenterologists took on a variety of challenges during the coronavirus disease 2019 pandemic, including learning about a new disease and how to recognize and manage it, prevent its spread among their patients and health professions colleagues, and make decisions about managing patients with chronic gastrointestinal and liver problems in light of the threat. They adapted their practice to accommodate drastically decreased numbers of in-person visits, adopting telehealth technologies, and instituting new protocols to perform endoscopies safely. The workforce pipeline was also affected by the impact of the pandemic on trainee education, clinical experience, research, and job searches.",Pediatric clinics of North America,2021-Dec,"Taylor R, Mallon D",2,704,gastroenterology,2025-11-22
33835099,Many Paradoxes of My Gastroenterology Practice.,"A paradox describes the clash between 2 seemingly reasonable prepositions whose joint occurrence appears impossible. Like any other human endeavor, medicine is also filled with paradoxes that await resolution. This editorial lists several common paradoxes frequently encountered by clinical gastroenterologists. These examples illustrate the interplay between risk and benefit, cost and effect, disease and cure, and escape and exposure. It is hoped that addressing these paradoxes and trying to resolve their underlying contradictions will ultimately lead to a more efficacious and rational delivery of healthcare.",Clinical and translational gastroenterology,2021-Apr,Sonnenberg A,1,615,gastroenterology,2025-11-22
35194705,Gastroenterology Practice Consolidation Between 2012 and 2020.,"Multiple studies have indicated physicians are practicing medicine in increasingly larger groups. However, specialty-specific data on the extent of consolidation are lacking for many specialties, including gastroenterology. We aim to determine the extent of consolidation for gastroenterology in recent years. The Physician Compare database was used to gather information at both an individual and group level. This information included location and number of providers for each group. Cochran-Armitage tests were used to test for differences between practice sizes in 2012 and 2020. Between 2012 and 2020, the number of physicians increased from 12,766 to 13,934, while the total number of practices decreased from 4517 to 3865. The total number of physicians who practice in groups of less than 9 physicians decreased by 23.9%, while the total number of physicians in practices of 100 + increased by 16.8%. Significant consolidation has occurred in the field of gastroenterology in every geographic region of the USA. The causes of consolidation are multi-faceted and include the legislative environment, private equity and hospital acquisition of private groups, individual physician lifestyle preferences, and economic benefits of economies of scale. However, the consequences of consolidation are still unclear. Over the last eight years, gastroenterologists have been practicing in increasingly larger groups. This trend has been consistent in each area of the country. Future research should focus on the impact of consolidation on patient care and physician wellbeing.",Digestive diseases and sciences,2022-Aug,"Griffin ZD, Hogan J, Pollock JR, Moore ML, Mehta D",5,1576,gastroenterology,2025-11-22
35804194,Black voices in gastroenterology and hepatology.,"The Association of Black Gastroenterologists and Hepatologists (ABGH) was established to improve health equity in Black communities and to provide academic and social support for Black gastroenterologists and hepatologists. In this Viewpoint, four members of ABGH (early career, mid-career and late career) discuss their route into gastroenterology and hepatology, how academia and medicine can promote inclusivity and equity, and their advice to Black students interested in a career in medicine or science.",Nature reviews. Gastroenterology & hepatology,2022-Sep,"Culpepper-Morgan JA, Guillaume A, Louissaint J, Williams R",4,508,gastroenterology,2025-11-22
36103277,Hypnotherapy in Pediatric Gastroenterology.,"In several countries, gut-directed hypnotherapy is becoming an established and evidence-based treatment in pediatric gastroenterology. This article describes what hypnotherapy is, offers an overview of its effect in gut-brain disorders and explains its potential mode of action. Moreover, the use of hypnotherapy in other areas of pediatric gastroenterology, as a supportive tool to reduce pain, stress, depression, and anxiety and improve quality of life, will be also discussed. Guidance toward implementing hypnotherapy in clinical practice is provided, including examples of how you can explain hypnosis to patients with gastroenterological symptoms.",Journal of pediatric gastroenterology and nutrition,2023-Jan,"Vlieger AM, Assa A, Borrelli O, Broekaert I, Deganello Saccomani M, Dolinsek J, Carpi de JM, Mas E, Miele E, Thomson M, Tzivinikos C, Benninga MA",12,654,gastroenterology,2025-11-22
36304086,Ultrasound-based artificial intelligence in gastroenterology and hepatology.,"Artificial intelligence (AI), especially deep learning, is gaining extensive attention for its excellent performance in medical image analysis. It can automatically make a quantitative assessment of complex medical images and help doctors to make more accurate diagnoses. In recent years, AI based on ultrasound has been shown to be very helpful in diffuse liver diseases and focal liver lesions, such as analyzing the severity of nonalcoholic fatty liver and the stage of liver fibrosis, identifying benign and malignant liver lesions, predicting the microvascular invasion of hepatocellular carcinoma, curative transarterial chemoembolization effect, and prognoses after thermal ablation. Moreover, AI based on endoscopic ultrasonography has been applied in some gastrointestinal diseases, such as distinguishing gastric mesenchymal tumors, detection of pancreatic cancer and intraductal papillary mucinous neoplasms, and predicting the preoperative tumor deposits in rectal cancer. This review focused on the basic technical knowledge about AI and the clinical application of AI in ultrasound of liver and gastroenterology diseases. Lastly, we discuss the challenges and future perspectives of AI.",World journal of gastroenterology,2022-Oct,"Liu JQ, Ren JY, Xu XL, Xiong LY, Peng YX, Pan XF, Dietrich CF, Cui XW",8,1200,gastroenterology,2025-11-22
35385404,Current Applications of Telemedicine in Gastroenterology.,"Telemedicine generally refers to the use of technology to communicate with patients and provide health care from a distance. Advances in technology, specifically computers, cellphones, and other mobile devices, have facilitated healthcare providers' growing ability to virtually monitor and mentor patients. There has been a progressive expansion in the use of telemedicine in the field of gastroenterology (GI), which has been accelerated by the COVID-19 pandemic. In this review, we discuss telemedicine-its history, various forms, and limitations-and its current applications in GI. Specifically, we focus on telemedicine in GI practice in general and specific applications, including the management of inflammatory bowel disease, celiac disease, and colorectal cancer surveillance and its use as an aid in endoscopic procedures.",The American journal of gastroenterology,2022-Jul,"Fung BM, Markarian E, Serper M, Tabibian JH",4,832,gastroenterology,2025-11-22
37432376,Advances in Nutrition in Pediatric Gastroenterology.,Chronic conditions affecting the gastrointestinal (GI) tract commonly impact nutrition adversely [...].,Nutrients,2023-May,"Krishnan U, Day AS",2,103,gastroenterology,2025-11-22
37919515,Gastroenterology Fellowship and Postdoctoral Training in Omics and Statistics-Part II: How Can It Be Achieved?,"Data are being generated, collected, and aggregated in massive quantities at exponentially increasing rates. This ""big data,"" discussed in depth in the first section of this two-part series, is increasingly important to understand the nuances of the gastrointestinal tract and its complex interactions and networks involving a host of other organ systems and microbes. Creating and using these datasets correctly requires comprehensive training; however, current instruction in the integration, analysis, and interpretation of big data appears to lag far behind data acquisition. While opportunities exist for those interested in acquiring the requisite training, these appear to be underutilized, in part due to widespread ignorance of their existence. Here, to address these gaps in knowledge, we highlight existing big data learning opportunities and propose innovative approaches to attain such training. We offer suggestions at both the undergraduate and graduate medical education levels for prospective clinical and basic investigators. Lastly, we categorize training opportunities that can be selected to fit specific needs and timeframes.",Digestive diseases and sciences,2024-Jan,"Alizadeh M, Sampaio Moura N, Schledwitz A, Patil SA, Ravel J, Raufman JP",6,1147,gastroenterology,2025-11-22
39119669,Anatomical Benchmarks in the Training of Gastroenterologists.,"Anatomy is one of the oldest medical disciplines and offered over the centuries the morphological explanation for the structure, function and pathology of the body. Learning anatomy was one of the first steps in the accumulation of medical knowledge. Practicing gastroenterology means the approach of pathology presenting with morphological changes. Diagnosis and therapeutical interventions require also precise anatomical knowledge. This is a review of the most important anatomical benchmarks necessary to trainees in gastroenterology. Two teachers of anatomy and one resident of gastroenterology performed a literature survey. They checked the curricula of gastroenterology of continental and national societies of gastroenterology and hepatology. They also checked on Pubmed and Google Scholar pertinent journal papers. They selected and analyzed papers presenting important anatomical benchmarks considered very important for the appropriation of practical skills. A list of recommendations was the outcome of this initiative. These are largely overlapping on the available curricula. The relevant anatomical benchmarks should be used in the training programs of residents in gastroenterology. Good anatomy training enables practitioners to diagnose correctly digestive pathology, to interpret the results of the imaging or endoscopic investigations, to recommend or undertake therapeutic interventions. Although ancient, anatomy is very useful in the training of future gastroenterologists. The trainees should emphasis the learning of the most important anatomical benchmarks.",Journal of gastrointestinal and liver diseases : JGLD,2024-Sep,"Dumitrascu DI, Rusu I, Filip A",3,1584,gastroenterology,2025-11-22
32650675,COVID-19 and gastroenterology: clinical insights and recommendations for gastroenterology care providers.,"While the COVID-19 pandemic evolves, we are beginning to understand the role the gastrointestinal tract plays in the disease and the impact of the infection on the care of patients with gastrointestinal (GI) and liver diseases. We review the data and understanding around the virus related to the digestive tract, impact of the pandemic on delivery of GI services and daily gastroenterology clinical practice, and the effects on patients with pre-existing GI diseases.",Scandinavian journal of gastroenterology,2020-Aug,"Niriella MA, De Silva AP, Liyanage KI, Sarin SK, de Silva HJ",5,468,gastroenterology,2025-11-22
39243338,Generative AI in Pediatric Gastroenterology.,"The integration of digital technology into medical practice is often thrust upon clinicians, with standards and routines developed long after initiation. Clinicians should endeavor towards a basic understanding even of emerging technologies so that they can direct its use. The intent of this review is to describe the current state of rapidly evolving generative artificial intelligence (GAI), and to explore both how pediatric gastroenterology practice may benefit as well as challenges that will be faced. Although little research demonstrating the acceptance, practice, and outcomes associated with GAI in pediatric gastroenterology is published, there are relevant data adjacent to the specialty and overwhelming potential as professed in the media. Best practice guidelines are widely developed in academic publishing and resources to initiate and improve practical user skills are prevalent. Initial published evidence supports broad acceptance of the technology as part of medical practice by clinicians and patients, describes methods with which higher quality GAI can be developed, and identifies the potential for bias and disparities resulting from its use. GAI is broadly available as a digital tool for incorporation into medical practice and holds promise for improved quality and efficiency of care, but investigation into how GAI can best be used remains at an early stage despite rapid evolution of the technology.",Current gastroenterology reports,2024-Dec,Rosen JM,1,1432,gastroenterology,2025-11-22
