pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
33803407,The Interplay between the Gut Microbiome and the Immune System in the Context of Infectious Diseases throughout Life and the Role of Nutrition in Optimizing Treatment Strategies.,"Infectious diseases and infections remain a leading cause of death in low-income countries and a major risk to vulnerable groups, such as infants and the elderly. The immune system plays a crucial role in the susceptibility, persistence, and clearance of these infections. With 70-80% of immune cells being present in the gut, there is an intricate interplay between the intestinal microbiota, the intestinal epithelial layer, and the local mucosal immune system. In addition to the local mucosal immune responses in the gut, it is increasingly recognized that the gut microbiome also affects systemic immunity. Clinicians are more and more using the increased knowledge about these complex interactions between the immune system, the gut microbiome, and human pathogens. The now well-recognized impact of nutrition on the composition of the gut microbiota and the immune system elucidates the role nutrition can play in improving health. This review describes the mechanisms involved in maintaining the intricate balance between the microbiota, gut health, the local immune response, and systemic immunity, linking this to infectious diseases throughout life, and highlights the impact of nutrition in infectious disease prevention and treatment.",Nutrients,2021-Mar,"Wiertsema SP, van Bergenhenegouwen J, Garssen J, Knippels LMJ",4,1247,infectious_diseases,2025-11-22
38070863,Vaccine development: Current trends and technologies.,"Despite the effectiveness of vaccination in reducing or eradicating diseases caused by pathogens, there remain certain diseases and emerging infections for which developing effective vaccines is inherently challenging. Additionally, developing vaccines for individuals with compromised immune systems or underlying medical conditions presents significant difficulties. As well as traditional vaccine different methods such as inactivated or live attenuated vaccines, viral vector vaccines, and subunit vaccines, emerging non-viral vaccine technologies, including viral-like particle and nanoparticle vaccines, DNA/RNA vaccines, and rational vaccine design, offer new strategies to address the existing challenges in vaccine development. These advancements have also greatly enhanced our understanding of vaccine immunology, which will guide future vaccine development for a broad range of diseases, including rapidly emerging infectious diseases like COVID-19 and diseases that have historically proven resistant to vaccination. This review provides a comprehensive assessment of emerging non-viral vaccine production methods and their application in addressing the fundamental and current challenges in vaccine development.",Life sciences,2024-Jan,"Poria R, Kala D, Nagraik R, Dhir Y, Dhir S, Singh B, Kaushik NK, Noorani MS, Kaushal A, Gupta S",10,1224,infectious_diseases,2025-11-22
34676194,Emerging and Re-emerging Vector-Borne Infectious Diseases and the Challenges for Control: A Review.,"Vector-borne emerging and re-emerging diseases pose considerable public health problem worldwide. Some of these diseases are emerging and/or re-emerging at increasing rates and appeared in new regions in the past two decades. Studies emphasized that the interactions among pathogens, hosts, and the environment play a key role for the emergence or re-emergence of these diseases. Furthermore, social and demographic factors such as human population growth, urbanization, globalization, trade exchange and travel and close interactions with livestock have significantly been linked with the emergence and/or re-emergence of vector-borne diseases. Other studies emphasize the ongoing evolution of pathogens, proliferation of reservoir populations, and antimicrobial drug use to be the principal exacerbating forces for emergence and re-emergence of vector-borne infectious diseases. Still other studies equivocally claim that climate change has been associated with appearance and resurgence of vector-borne infectious diseases. Despite the fact that many important emerging and re-emerging vector-borne infectious diseases are becoming better controlled, our success in stopping the many new appearing and resurging vector-borne infectious diseases that may happen in the future seems to be uncertain. Hence, this paper reviews and synthesizes the existing literature to explore global patterns of emerging and re-emerging vector-borne infections and the challenges for their control. It also attempts to give insights to the epidemiological profile of major vector-borne diseases including Zika fever, dengue, West Nile fever, Crimean-Congo hemorrhagic fever, Chikungunya, Yellow fever, and Rift Valley fever.",Frontiers in public health,2021-,"Chala B, Hamde F",2,1709,infectious_diseases,2025-11-22
34530712,"""Big Three"" Infectious Diseases: Tuberculosis, Malaria and HIV/AIDS.","Infectious diseases have been evolving and re-evolving over the ages and causing immense misery to humans. Among them, some have been prevented and eradicated, but few are still threatening the modern era since their origin. The majority of these infectious diseases are poverty-driven, hence highly prevalent in the lower-income and mid-income countries of Africa and Asia. The world's deadliest infections, including Tuberculosis, Malaria and HIV/AIDS, have been considered as the ""Big Three"" infectious diseases (BTIDs). With leading infections and deaths every year, the BTIDs have been recognized as the world's greatest pandemics. In light of these alarming situations, this review has been aimed to provide a comprehensive overview of the current status of chemotherapeutics, associated challenges and future perspectives of BTIDs.",Current topics in medicinal chemistry,2021-,"Makam P, Matsa R",2,838,infectious_diseases,2025-11-22
35215994,mRNA Vaccine Development for Emerging Animal and Zoonotic Diseases.,"In the prevention and treatment of infectious diseases, mRNA vaccines hold great promise because of their low risk of insertional mutagenesis, high potency, accelerated development cycles, and potential for low-cost manufacture. In past years, several mRNA vaccines have entered clinical trials and have shown promise for offering solutions to combat emerging and re-emerging infectious diseases such as rabies, Zika, and influenza. Recently, the successful application of mRNA vaccines against COVID-19 has further validated the platform and opened the floodgates to mRNA vaccine's potential in infectious disease prevention, especially in the veterinary field. In this review, we describe our current understanding of the mRNA vaccines and the technologies used for mRNA vaccine development. We also provide an overview of mRNA vaccines developed for animal infectious diseases and discuss directions and challenges for the future applications of this promising vaccine platform in the veterinary field.",Viruses,2022-Feb,"Le T, Sun C, Chang J, Zhang G, Yin X",5,1005,infectious_diseases,2025-11-22
37909789,MicroRNAs in infectious diseases: potential diagnostic biomarkers and therapeutic targets.,"MicroRNAs (miRNAs) are conserved, short, non-coding RNAs that play a crucial role in the post-transcriptional regulation of gene expression. They have been implicated in the pathogenesis of cancer and neurological, cardiovascular, and autoimmune diseases. Several recent studies have suggested that miRNAs are key players in regulating the differentiation, maturation, and activation of immune cells, thereby influencing the host immune response to infection. The resultant upregulation or downregulation of miRNAs from infection influences the protein expression of genes responsible for the immune response and can determine the risk of disease progression. Recently, miRNAs have been explored as diagnostic biomarkers and therapeutic targets in various infectious diseases. This review summarizes our current understanding of the role of miRNAs during viral, fungal, bacterial, and parasitic infections from a clinical perspective, including critical functional mechanisms and implications for their potential use as biomarkers and therapeutic targets.",Clinical microbiology reviews,2023-Dec,"Kimura M, Kothari S, Gohir W, Camargo JF, Husain S",5,1055,infectious_diseases,2025-11-22
32829577,Application of Next Generation Sequencing in Laboratory Medicine.,"The rapid development of next-generation sequencing (NGS) technology, including advances in sequencing chemistry, sequencing technologies, bioinformatics, and data interpretation, has facilitated its wide clinical application in precision medicine. This review describes current sequencing technologies, including short- and long-read sequencing technologies, and highlights the clinical application of NGS in inherited diseases, oncology, and infectious diseases. We review NGS approaches and clinical diagnosis for constitutional disorders; summarize the application of U.S. Food and Drug Administration-approved NGS panels, cancer biomarkers, minimal residual disease, and liquid biopsy in clinical oncology; and consider epidemiological surveillance, identification of pathogens, and the importance of host microbiome in infectious diseases. Finally, we discuss the challenges and future perspectives of clinical NGS tests.",Annals of laboratory medicine,2021-Jan,"Zhong Y, Xu F, Wu J, Schubert J, Li MM",5,927,infectious_diseases,2025-11-22
32846157,Emerging Pandemic Diseases: How We Got to COVID-19.,"Infectious diseases prevalent in humans and animals are caused by pathogens that once emerged from other animal hosts. In addition to these established infections, new infectious diseases periodically emerge. In extreme cases they may cause pandemics such as COVID-19; in other cases, dead-end infections or smaller epidemics result. Established diseases may also re-emerge, for example by extending geographically or by becoming more transmissible or more pathogenic. Disease emergence reflects dynamic balances and imbalances, within complex globally distributed ecosystems comprising humans, animals, pathogens, and the environment. Understanding these variables is a necessary step in controlling future devastating disease emergences.",Cell,2020-Sep,"Morens DM, Fauci AS",2,739,infectious_diseases,2025-11-22
35287183,Surveillance of emerging infectious diseases for biosecurity.,"Emerging infectious diseases, such as COVID-19, continue to pose significant threats to human beings and their surroundings. In addition, biological warfare, bioterrorism, biological accidents, and harmful consequences arising from dual-use biotechnology also pose a challenge for global biosecurity. Improving the early surveillance capabilities is necessary for building a common biosecurity shield for the global community of health for all. Furthermore, surveillance could provide early warning and situational awareness of biosecurity risks. However, current surveillance systems face enormous challenges, including technical shortages, fragmented management, and limited international cooperation. Detecting emerging biological risks caused by unknown or novel pathogens is of particular concern. Surveillance systems must be enhanced to effectively mitigate biosecurity risks. Thus, a global strategy of meaningful cooperation based on efficient integration of surveillance at all levels, including interdisciplinary integration of techniques and interdepartmental integration for effective management, is urgently needed. In this paper, we review the biosecurity risks by analyzing potential factors at all levels globally. In addition to describing biosecurity risks and their impact on global security, we also focus on analyzing the challenges to traditional surveillance and propose suggestions on how to integrate current technologies and resources to conduct effective global surveillance.",Science China. Life sciences,2022-Aug,"Hao R, Liu Y, Shen W, Zhao R, Jiang B, Song H, Yan M, Ma H",8,1503,infectious_diseases,2025-11-22
39256346,Emerging and reemerging infectious diseases: global trends and new strategies for their prevention and control.,"To adequately prepare for potential hazards caused by emerging and reemerging infectious diseases, the WHO has issued a list of high-priority pathogens that are likely to cause future outbreaks and for which research and development (R&D) efforts are dedicated, known as paramount R&D blueprints. Within R&D efforts, the goal is to obtain effective prophylactic and therapeutic approaches, which depends on a comprehensive knowledge of the etiology, epidemiology, and pathogenesis of these diseases. In this process, the accessibility of animal models is a priority bottleneck because it plays a key role in bridging the gap between in-depth understanding and control efforts for infectious diseases. Here, we reviewed preclinical animal models for high priority disease in terms of their ability to simulate human infections, including both natural susceptibility models, artificially engineered models, and surrogate models. In addition, we have thoroughly reviewed the current landscape of vaccines, antibodies, and small molecule drugs, particularly hopeful candidates in the advanced stages of these infectious diseases. More importantly, focusing on global trends and novel technologies, several aspects of the prevention and control of infectious disease were discussed in detail, including but not limited to gaps in currently available animal models and medical responses, better immune correlates of protection established in animal models and humans, further understanding of disease mechanisms, and the role of artificial intelligence in guiding or supplementing the development of animal models, vaccines, and drugs. Overall, this review described pioneering approaches and sophisticated techniques involved in the study of the epidemiology, pathogenesis, prevention, and clinical theatment of WHO high-priority pathogens and proposed potential directions. Technological advances in these aspects would consolidate the line of defense, thus ensuring a timely response to WHO high priority pathogens.",Signal transduction and targeted therapy,2024-Sep,"Wang S, Li W, Wang Z, Yang W, Li E, Xia X, Yan F, Chiu S",8,2012,infectious_diseases,2025-11-22
