pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
31982214,Critical Care Nephrology: Core Curriculum 2020.,"The intensive care unit (ICU) is a common source of high-acuity nephrology consultations. Although advanced chronic kidney disease is associated with increased ICU mortality, the prognosis of acute kidney injury (AKI) requiring renal replacement therapy is far worse, with short-term mortality rates that often exceed 50%. As such, it is essential that practicing nephrologists be comfortable caring for critically ill patients. This Core Curriculum article emphasizes the developments of the last decade since the last Core Curriculum installment on this topic in 2009. We focus on some of the most common causes of AKI in the critical care setting and use these AKI causes to delve into specific topics most relevant to critical care nephrology, including acute respiratory distress syndrome, extracorporeal membrane oxygenation, evolving concepts in fluid management, and shock. We conclude by reviewing the basics of palliative care nephrology and dialysis decision making in the ICU.",American journal of kidney diseases : the official journal of the National Kidney Foundation,2020-Mar,"Griffin BR, Liu KD, Teixeira JP",3,988,nephrology,2025-11-22
34247745,Introduction to Nephrocardiology.,"The interaction between nephrology and cardiovascular medicine is much broader than the cardiorenal syndrome. Many different aspects of cardiovascular medicine are interconnected with and substantially influenced by the conditions that fall into the realm of nephrology, and vice versa. Those aspects include pathophysiology, risk factors, epidemiology, prognosis, prevention, diagnosis, monitoring, and therapy. Discovery of the interconnected areas and development of appropriate knowledge and skill to optimally approach those circumstances can improve the quality of care and outcome of a large population of patients. Therefore, establishment of the distinct subspeciality of nephrocardiology is imperative.",Cardiology clinics,2021-Aug,Hatamizadeh P,1,712,nephrology,2025-11-22
39724419,Childhood idiopathic nephrotic syndrome: recent advancements shaping future guidelines.,"Childhood idiopathic nephrotic syndrome is an important pediatric kidney disease associated with significant morbidities and even mortality. Several guidelines have been developed to standardize the terminology and patient care among the pediatric nephrology community. Since the publication of these guidelines, there have been major breakthroughs in the disease management and the understanding of underlying pathogenesis through multi-omics investigations, including the identification of anti-nephrin autoantibodies, genetic susceptibility loci, and the pathogenic role of B cell subsets. In this educational review, we summarize the recent major advancements in idiopathic nephrotic syndrome and attempt to provide potential therapeutic approaches in both steroid-sensitive and steroid-resistant nephrotic syndrome that may shape future guideline development.","Pediatric nephrology (Berlin, Germany)",2025-Aug,"Chan EY, Boyer O",2,864,nephrology,2025-11-22
39648872,Dialysis Jeopardy!,"Dialysis Jeopardy! was a fun and innovative dialysis quiz for conference attendees at the Annual Dialysis Conference 2024 held in San Diego. The event saw active participation from nephrology fellows, faculty, and allied health care professionals. The event provided an excellent opportunity for nephrology fellows to interact with faculty in a nonformal setting.",Hemodialysis international. International Symposium on Home Hemodialysis,2025-Jan,"Mangalgi S, Misra M",2,363,nephrology,2025-11-22
39577891,Transplant Nephrology.,"The progressive rise in the number of kidney transplant recipients in the last 2 decades is reflective of the technological advances in the field. Nephrologists are responsible for providing long-term longitudinal care to these patients. It is pertinent that nephrologists understand the various nuances of aspects such as immunosuppression, opportunistic infections, and identification of causes associated with graft dysfunction.",Advances in kidney disease and health,2024-Nov,"Sexton DJ, Bagnasco S, Kant S",3,431,nephrology,2025-11-22
33131648,Interventional Nephrology: Opportunities and Challenges.,"The nephrologist has a pivotal role as the leader of multidisciplinary teams to optimize vascular access care of the patient on dialysis and to promote multidisciplinary collaboration in research, training, and education. The continued success of interventional nephrology as an independent discipline depends on harnessing these efforts to advance knowledge and encourage innovation. A comprehensive curriculum that encompasses research from bench to bedside coupled with standardized clinical training protocols are fundamental to this expansion. As we find ourselves on the threshold of a much-awaited revolution in nephrology, there is great opportunity but also formidable challenges in the field - it is up to us to work together to realize the enormous potential of our discipline.",Advances in chronic kidney disease,2020-Jul,"Niyyar VD, Beathard G",2,788,nephrology,2025-11-22
33131645,Opportunities for Subspecialization in Nephrology.,"The interface between nephrology and other fields of medicine continues to expand. With the advent of novel therapies in cancer, diagnostics and therapeutics in lithology, novel devices in cardiology, advances in women's health issues, novel diagnostics and therapies in glomerular diseases, and the national priority in home-based dialysis, several subspecialties in nephrology have emerged. This article will discuss the subspecialties of onconephrology, cardionephrology, obstetric nephrology, uronephrology, glomerular disease specialization, and home-based dialysis in nephrology. We discuss the current state of each subspecialty, recommended educational content, length of training, available training opportunities, and potential career pathways for each.",Advances in chronic kidney disease,2020-Jul,"Sachdeva M, Shah AD, Singh HK, Malieckal DA, Rangaswami J, Jhaveri KD",6,763,nephrology,2025-11-22
32891309,The Nephrologist as an Ultrasonographer.,"Ultrasonography is increasingly being used in the practice of nephrology, whether it is for diagnosis or management of acute or chronic kidney dysfunction, until progression to end-stage kidney disease, including preoperative assessment, access placement, and diagnosis and management of dysfunctional hemodialysis access. Point-of-care ultrasounds are also being used by nephrologists to help manage volume status, especially in patients admitted to the intensive care units, and more recently, for guiding fluid removal in the outpatient dialysis units. Fundamental knowledge of sonography has become invaluable to the nephrologist, and performance and interpretation of ultrasound has now become an essential tool for practicing nephrologists to provide patient-centered care, maximize efficiency, and minimize fragmentation of care. This review will address the growing role of ultrasonography in the management of a patient with CKD from the point of initial contact with the nephrologist throughout the spectrum of kidney disease and its consequences.",Advances in chronic kidney disease,2020-May,"Koratala A, Teodorescu V, Niyyar VD",3,1057,nephrology,2025-11-22
36161524,Point-of-care ultrasound in pediatric nephrology.,"Point-of-care ultrasound (POCUS) has evolved in recent years in clinical practice, helping in early bedside diagnosis of important etiologies. Many medical schools and training programs are integrating POCUS into their curriculum. Especially with the technological advances of newer handheld ultrasound devices, POCUS has now become a component adjunct to clinical examination, in the clinic and bedside in critical care units. The diagnostic utility of POCUS lies both in early identification of critical kidney disease, and also extra-renal pathologies from a focused cardiac ultrasound, lung ultrasound, and integrated fluid assessment. There is a need to incorporate POCUS in training in pediatric nephrology and establish competency standard criteria. This review shall cover how POCUS helps in enhancing patient care in pediatric kidney disorders and critical children, and the recent advances.","Pediatric nephrology (Berlin, Germany)",2023-Jun,"Sethi SK, Raina R, Koratala A, Rad AH, Vadhera A, Badeli H",6,900,nephrology,2025-11-22
38949801,Nursing Roles in Nephrology.,"Numerous nursing roles in a variety of work environments are available to nurses specializing in nephrology nursing. This article describes the various roles and work settings available to nurses new to nephrology and experienced nephrology nurses, intending to promote awareness of the specialty and increase the number of nurses working in nephrology. The information provided can be shared with those working within the specialty, and be included in nephrology nursing recruitment and retention strategies implemented to address the current and future anticipated nephrology nursing void.",Nephrology nursing journal : journal of the American Nephrology Nurses' Association,2024-,"DeStefano J, Payton J",2,591,nephrology,2025-11-22
33332881,Point-of-care ultrasound in nephrology.,"The use of POCUS has grown tremendously with the introduction of innovative, easy-to-carry and maneuver hand-held devices. This review focuses on nephrology-centric applications of POCUS that can be incorporated on a daily basis to make impactful and prompt clinical decisions. We review articles covering use of POCUS in the dialysis unit, the Emergency Department, office, and ICU for assessment of volume status, access issues, stones, obstruction, and to help manage patients with AKI, shock, and heart failure. POCUS is a welcome addition to our bedside diagnostic armamentarium and has great utility in nephrology. Trials are ongoing in evaluating outcomes with POCUS and physicians' clinical experience using it has been extremely positive.",Current opinion in nephrology and hypertension,2021-Mar,"Soomro QH, Amerling R",2,747,nephrology,2025-11-22
32560777,Newsletters in Medical Education.,"Medical online newsletters are an important component of communication between learners and educators. The ease of creation and distribution has broadened the appeal and growth of online formats. This manuscript details the history of the modern newsletter as it relates to the nephrology community. From historical listservs to content-rich emails and blogs, the creative newsletter formats are changing to meet the demands of readers. With continued expansion of online education and access, this communication format can continue to meet the needs of virtually focused world.",Seminars in nephrology,2020-May,Colbert GB,1,578,nephrology,2025-11-22
35690406,Nephrology Policy: Kidney Transplantation.,"Kidney transplant policy has not historically been considered a domain of nephrology policy; despite that, the US transplant system is marked by missed opportunities that prevent patients from accessing a kidney transplant. Policymakers in the federal government are focused on growing the inadequate supply of kidneys, especially on increasing procurement of deceased donor organs, and reducing kidney discards. There are many more challenges in transplantation that require the attention of experts in nephrology policy, whether in the Administration, Congress, advocacy organizations, or clinical practice. Thoughtful policy solutions are needed to improve transplant equity, balance competing patient desires, increase living donation, develop and implement measures of transplant center performance, and create an infrastructure for the long-term management of transplant recipients.",Advances in chronic kidney disease,2022-Jan,Godwin M,1,888,nephrology,2025-11-22
39192232,How artificial intelligence is transforming nephrology.,"Current research in nephrology is increasingly focused on elucidating the complexity inherent in tightly interwoven molecular systems and their correlation with pathology and related therapeutics, including dialysis and renal transplantation. Rapid advances in the omics sciences, medical device sensorization, and networked digital medical devices have made such research increasingly data centered. Data-centric science requires the support of computationally powerful and sophisticated tools able to handle the overflow of novel biomarkers and therapeutic targets. This is a context in which artificial intelligence (AI) and, more specifically, machine learning (ML) can provide a clear analytical advantage, given the rapid advances in their ability to harness multimodal data, from genomic information to signal, image and even heterogeneous electronic health records (EHR). However, paradoxically, only a small fraction of ML-based medical decision support systems undergo validation and demonstrate clinical usefulness. To effectively translate all this new knowledge into clinical practice, the development of clinically compliant support systems based on interpretable and explainable ML-based methods and clear analytical strategies for personalized medicine are imperative. Intelligent nephrology, that is, the design and development of AI-based strategies for a data-centric approach to nephrology, is just taking its first steps and is by no means yet close to its coming of age. These first steps are not even homogeneously taken, as a digital divide in access to technology has become evident between developed and developing countries, also affecting underrepresented minorities. With all this in mind, this editorial aim to provide a selective overview of the current use of AI technologies in nephrology and heralds the ""Artificial Intelligence in Nephrology"" special issue launched by BMC Nephrology.",BMC nephrology,2024-Aug,"Hueso M, Vellido A",2,1919,nephrology,2025-11-22
34194006,Big Data in Nephrology.,"A huge array of data in nephrology is collected through patient registries, large epidemiological studies, electronic health records, administrative claims, clinical trial repositories, mobile health devices and molecular databases. Application of these big data, particularly using machine-learning algorithms, provides a unique opportunity to obtain novel insights into kidney diseases, facilitate personalized medicine and improve patient care. Efforts to make large volumes of data freely accessible to the scientific community, increased awareness of the importance of data sharing and the availability of advanced computing algorithms will facilitate the use of big data in nephrology. However, challenges exist in accessing, harmonizing and integrating datasets in different formats from disparate sources, improving data quality and ensuring that data are secure and the rights and privacy of patients and research participants are protected. In addition, the optimism for data-driven breakthroughs in medicine is tempered by scepticism about the accuracy of calibration and prediction from in silico techniques. Machine-learning algorithms designed to study kidney health and diseases must be able to handle the nuances of this specialty, must adapt as medical practice continually evolves, and must have global and prospective applicability for external and future datasets.",Nature reviews. Nephrology,2021-Oct,"Kaur N, Bhattacharya S, Butte AJ",3,1384,nephrology,2025-11-22
36253030,Natural Language Processing in Nephrology.,"Unstructured data in the electronic health records contain essential patient information. Natural language processing (NLP), teaching a computer to read, allows us to tap into these data without needing the time and effort of manual chart abstraction. The core first step for all NLP algorithms is preprocessing the text to identify the core words that differentiate the text while filtering out the noise. Traditional NLP uses a rule-based approach, applying grammatical rules to infer meaning from the text. Newer NLP approaches use machine learning/deep learning which can infer meaning without explicitly being programmed. NLP use in nephrology research has focused on identifying distinct disease processes, such as CKD, and extraction of patient-oriented outcomes such as symptoms with high sensitivity. NLP can identify patient features from clinical text associated with acute kidney injury and progression of CKD. Lastly, inclusion of features extracted using NLP improved the performance of risk-prediction models compared to models that only use structured data. Implementation of NLP algorithms has been slow, partially hindered by the lack of external validation of NLP algorithms. However, NLP allows for extraction of key patient characteristics from free text, an infrequently used resource in nephrology.",Advances in chronic kidney disease,2022-Sep,"Van Vleck TT, Farrell D, Chan L",3,1321,nephrology,2025-11-22
34112638,Use of rituximab in paediatric nephrology.,"Rituximab is a chimeric monoclonal antibody capable of depleting B cell populations by targeting the CD20 antigen expressed on the cell surface. Its use in oncology, initially in B cell lymphoma and post-transplant lymphoproliferative disorders, predates its current utility in various fields of medicine wherein it has become one of the safest and most effective antibody-based therapies. It was subsequently found to be effective for rheumatological conditions such as rheumatoid arthritis and antineutrophil cytoplasmic antibody-associated vasculitis. Over the past decade, rituximab has generated a lot of interest in nephrology and has become an emerging or accepted therapy for multiple renal conditions, including systemic lupus erythematosus, lupus nephritis, vasculitis, nephrotic syndrome and in different scenarios before and after kidney transplantation. This review outlines its current use in paediatric nephrology practice, focusing on the knowledge required for general paediatricians who may be caring for children prescribed this medication and reviewing them on a shared care basis.",Archives of disease in childhood,2021-Nov,"Sinha R, Agrawal N, Xue Y, Chanchlani R, Pradhan S, Raina R, Marks SD",7,1101,nephrology,2025-11-22
39498911,Genomics Vision In Nephrology and Transplantation.,"Current nephrology practice starts by patient-doctor interactions and can lead to investigations. Genetic testing has had a limited role in these investigations. In the future era of precision medicine, adding genomic sequencing early in the management paradigm could modify treatment plans. Genomic approaches followed by physician planning for targeted treatment of renal disease and transplant are precision medicine tools that can lead to better prognosis and medical outcomes.",Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,2024-Oct,Hafez MH,1,481,nephrology,2025-11-22
36799506,Perception and satisfaction of nephrology education and training in Iraq.,"Interest in training in nephrology is declining around the world. This is a particularly worrisome issue for future nephrology practice with the aging population and the increasing number of patients with kidney disease. We wished to understand the perception and measure the satisfaction of Iraqi medical interns regarding nephrology and explore factors affecting career decisions towards becoming a specialist nephrologist. A web-based authors-constructed survey consisting of a Likert-type scale questionnaire to assess perception and satisfaction was used. It comprised multiple-choice yes/no/maybe questions and addressed the willingness to pursue a career in nephrology. Iraqi medical interns in their final 2 years of training, 2021-2022, were assessed. One hundred and twenty internal medicine Iraqi fellows participated in the survey (response rate 84.2%). Sixty-eight fellows (74%) described nephrology as a complex science. Acid-base and electrolytes disorders and transplantation were the most challenging topics, followed by glomerular diseases. Twenty-one fellows (23%) were satisfied with the quality of training and nephrology education during their medical school, residency and internship. In addition, 14% stated that they would pursue a future career in nephrology. The most selected barrier (34%) against choosing nephrology was a fellow's perception of the patient's complexity and the potentially futile outcome. The majority (76%) of Iraqi medical interns are currently not satisfied with nephrology training and education. One in seven would pursue a future career in nephrology. New targeted innovative approaches are urgently needed for the various grades of trainees to highlight the benefits of nephrology as a career.",The journal of the Royal College of Physicians of Edinburgh,2023-Mar,"Ali A, Al-Omar D, Lami F, Bhandari S",4,1747,nephrology,2025-11-22
40216576,"Multi-Omics Integration in Nephrology: Advances, Challenges, and Future Directions.","Omics technologies have transformed nephrology, providing deep insights into molecular mechanisms of kidney disease and enabling more precise diagnostic tools, therapeutic strategies, and prognostic markers. Multi-omics data integration, spanning bulk, single-cell, and spatial omics, offers a comprehensive view of kidney biology in health and disease. In this review, we explore methods and challenges for integrating transcriptomic, epigenomic, and spatial data. By combining omics layers, researchers can uncover novel molecular interactions and spatial tissue organization, advancing our understanding of diseases like diabetic kidney disease and autosomal polycystic kidney disease. This integrated approach is reshaping diagnostic and therapeutic strategies in nephrology and is critical for optimizing insights available from spatial and multi-omics analysis.",Seminars in nephrology,2024-Nov,"Saliba A, Du Y, Feng T, Garmire L",4,867,nephrology,2025-11-22
