pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
37827183,Pragmatic solutions to reduce the global burden of stroke: a World Stroke Organization-Lancet Neurology Commission.,"Stroke is the second leading cause of death worldwide. The burden of disability after a stroke is also large, and is increasing at a faster pace in low-income and middle-income countries than in high-income countries. Alarmingly, the incidence of stroke is increasing in young and middle-aged people (ie, age <55 years) globally. Should these trends continue, Sustainable Development Goal 3.4 (reducing the burden of stroke as part of the general target to reduce the burden of non-communicable diseases by a third by 2030) will not be met. In this Commission, we forecast the burden of stroke from 2020 to 2050. We project that stroke mortality will increase by 50%—from 6·6 million (95% uncertainty interval [UI] 6·0 million–7·1 million) in 2020, to 9·7 million (8·0 million–11·6 million) in 2050—with <b>disability-adjusted life-years</b> (DALYs) growing over the same period from 144·8 million (133·9 million–156·9 million) in 2020, to 189·3 million (161·8 million–224·9 million) in 2050. These projections prompted us to do a situational analysis across the four pillars of the stroke quadrangle: surveillance, prevention, acute care, and rehabilitation. We have also identified the barriers to, and facilitators for, the achievement of these four pillars. DISABILITY-ADJUSTED LIFE-YEARS (DALYS): The sum of the years of life lost as a result of premature mortality from a disease and the years lived with a disability associated with prevalent cases of the disease in a population. One DALY represents the loss of the equivalent of one year of full health On the basis of our assessment, we have identified and prioritised several recommendations. For each of the four pillars (surveillance, prevention, acute care, and rehabilitation), we propose pragmatic solutions for the implementation of evidence-based interventions to reduce the global burden of stroke. The estimated direct (ie, treatment and rehabilitation) and indirect (considering productivity loss) costs of stroke globally are in excess of US$891 billion annually. The pragmatic solutions we put forwards for urgent implementation should help to mitigate these losses, reduce the global burden of stroke, and contribute to achievement of Sustainable Development Goal 3.4, the WHO Intersectoral Global Action Plan on epilepsy and other neurological disorders (2022–2031), and the WHO Global Action Plan for prevention and control of non-communicable diseases. Reduction of the global burden of stroke, particularly in low-income and middle-income countries, by implementing primary and secondary stroke prevention strategies and evidence-based acute care and rehabilitation services is urgently required. Measures to facilitate this goal include: the establishment of a framework to monitor and assess the burden of stroke (and its risk factors) and stroke services at a national level; the implementation of integrated population-level and individual-level prevention strategies for people at any increased risk of cerebrovascular disease, with emphasis on early detection and control of hypertension; planning and delivery of acute stroke care services, including the establishment of stroke units with access to reperfusion therapies for ischaemic stroke and workforce training and capacity building (and monitoring of quality indicators for these services nationally, regionally, and globally); the promotion of interdisciplinary stroke care services, training for caregivers, and capacity building for community health workers and other health-care providers working in stroke rehabilitation; and the creation of a stroke advocacy and implementation ecosystem that includes all relevant communities, organisations, and stakeholders.",The Lancet. Neurology,2023-Dec,"Feigin VL, Owolabi MO",2,3707,neurology,2025-11-22
34524968,Ethical Considerations in Dementia Diagnosis and Care: AAN Position Statement.,"Alzheimer disease and other dementias present unique practical challenges for patients, their families, clinicians, and health systems. These challenges reflect not only the growing public health effect of dementia in an aging global population, but also more specific ethical complexities including early loss of patients' capacity to make decisions regarding their own care, the stigma often associated with a dementia diagnosis, the difficulty of balancing concern for patients' welfare with respect for patients' remaining independence, and the effect on the physical, emotional, and financial well-being of family caregivers. Caring for patients with dementia requires respecting patient autonomy while acknowledging progressively diminishing decisional capacity and continuing to provide care in accordance with other core ethical principles (beneficence, justice, and nonmaleficence). Whereas these ethical principles remain unchanged, neurologists must reconsider how to apply them given changes across multiple domains including our understanding of disease, clinical and legal tools for addressing manifestations of illness, our expanding awareness of the crucial role of family caregivers in providing care and maintaining patient quality of life, and societal conceptions of dementia and individuals' personal expectations for aging. This revision to the American Academy of Neurology's 1996 position statement summarizes ethical considerations that often arise in caring for patients with dementia; although it addresses how such considerations influence patient management, it is not a clinical practice guideline.",Neurology,2021-Jul,"Chiong W, Tsou AY, Simmons Z, Bonnie RJ, Russell JA",5,1628,neurology,2025-11-22
33856477,Bibliometric Analysis of Neurology Articles Published in General Medicine Journals.,"A significant portion of neurology literature is published in general medicine journals. Despite this, a detailed examination of publication patterns of neurology articles in these journals has not yet been carried out. To examine the publication patterns of neurology articles in general medicine journals during a 10-year period using a bibliometric approach. This cross-sectional bibliometric analysis identified the top 5 general medicine journals using the 2017 Journal Citations Report. Four other medical subspecialties (ie, immunology, endocrinology, gastroenterology, and pulmonology) were selected for comparison of publication patterns with neurology. Using MEDLINE, the 5 journals were searched for articles published between 2009 and 2018 that were indexed with the following MeSH terms: nervous system diseases, immune system diseases, endocrine system diseases, gastrointestinal diseases, and respiratory tract diseases. Data analysis was conducted from February 2019 to December 2020. Publications were characterized by journal, specialty, and study design. These variables were used for comparison of publication numbers. The general medicine journals with the 5 highest journal impact factors (JIF) were New England Journal of Medicine (NEJM; JIF 79.3), Lancet (JIF 53.3), JAMA (JIF 47.7), BMJ (JIF 23.6), and PLOS Medicine (JIF 11.7). Our bibliometric search yielded 3719 publications, of which 1098 (29.5%) were in neurology. Of these 1098 neurology publications, 317 (28.9%) were published in NEJM, 205 (18.7%) in Lancet, 284 (25.9%) in JAMA, 214 (19.5%) in BMJ, and 78 (7.1%) in PLOS Medicine. Randomized clinical trials were the most frequent neurology study type in general medicine journals (519 [47.3%]). The number of publications in each of the other specialties were as follows: immunology, 817; endocrinology, 633; gastroenterology, 353; and pulmonology, 818. The results of this study provide some guidance to authors regarding where they may wish to consider submitting their neurology research. Compared with other specialties, neurology-based articles are published more frequently in general medicine journals.",JAMA network open,2021-Apr,"Wilson M, Sampson M, Barrowman N, Doja A",4,2145,neurology,2025-11-22
35235932,Charcot's Anglophilia.,Jean-Martin Charcot was one of the most influential physicians of the nineteenth century and is now rightly considered the father of Neurology. The aim of this paper was to review and describe Charcot's close relationships to Britain and the influence of this particular affinity on his career.,European neurology,2022-,"Coutinho L, Walusinski O, Lees AJ, Teive HAG",4,294,neurology,2025-11-22
36064285,"Headache: what to ask, how to examine, and what scales to use. Recommendations of the Spanish society of neurology's headache study group.","INTRODUCCIóN: La cefalea es el motivo de consulta neurológico más prevalente en los distintos niveles asistenciales, donde la anamnesis y exploración son primordiales para realizar un diagnóstico y tratamiento adecuados. Con la intención de unificar la atención de esta patología, el Grupo de Estudio de Cefalea de la Sociedad Española de Neurología (GECSEN) ha decidido elaborar unas recomendaciones consensuadas para mejorar y garantizar una adecuada asistencia en Atención Primaria, Urgencias y Neurología. METODOLOGíA: El documento es práctico, sigue el orden de la dinámica de actuación durante una consulta: anamnesis, escalas que cuantifican el impacto y la discapacidad y exploración. Además, finaliza con pautas para realizar un seguimiento adecuado y un manejo de las expectativas del paciente con el tratamiento pautado. CONCLUSIONES: Esperamos ofrecer una herramienta que mejore la atención al paciente con cefalea para garantizar una asistencia adecuada y homogénea a nivel nacional.",Neurologia,2022-Sep,"Gago-Veiga AB, Camiña Muñiz J, García-Azorín D, González-Quintanilla V, Ordás CM, Torres-Ferrus M, Santos-Lasaosa S, Viguera-Romero J, Pozo-Rosich P",9,996,neurology,2025-11-22
39255851,Charcot's Russian pupils.,"The establishment of Russian neurology in the late 19th century was significantly shaped by the neurology department at La Salpêtrière Hospital under Professor Jean-Martin Charcot's leadership. A group of Russian neurologists, guided by Professor Kozhevnikov and featuring his disciples such as Korsakov, Minor, Darkshevich, and Bekhterev, had the privilege of being mentored by Professor Charcot. Subsequently, they played pivotal roles in founding various neurology services in Russia, greatly influenced by the teachings and insights they acquired under Charcot's tutelage.",Arquivos de neuro-psiquiatria,2024-Dec,"Teive HAG, Coutinho L, Camargo CHF",3,576,neurology,2025-11-22
39657848,Precision neurology.,"Over the past several decades, high-resolution brain imaging, blood and cerebrospinal fluid analyses, and other advanced technologies have changed diagnosis from an exercise depending primarily on the history and physical examination to a computer- and online resource-aided process that relies on larger and larger quantities of data. In addition, randomized controlled trials (RCT) at a population level have led to many new drugs and devices to treat neurological disease, including disease-modifying therapies. We are now at a crossroads. Combinatorially profound increases in data about individuals has led to an alternative to population-based RCTs. Genotyping and comprehensive ""deep"" phenotyping can sort individuals into smaller groups, enabling precise medical decisions at a personal level. In neurology, precision medicine that includes prediction, prevention and personalization requires that genomic and phenomic information further incorporate imaging and behavioral data. In this article, we review the genomic, phenomic, and computational aspects of precision medicine for neurology. After defining biological markers, we discuss some applications of these ""-omic"" and neuroimaging measures, and then outline the role of computation and ultimately brain simulation. We conclude the article with a discussion of the relation between precision medicine and value-based care.",Ageing research reviews,2025-Feb,Small SL,1,1389,neurology,2025-11-22
38431253,Diagnosis and treatment of disorders of intracranial pressure: consensus statement of the Spanish Society of Neurology's Headache Study Group.,"Primary intracranial pressure disorders include idiopathic intracranial hypertension and spontaneous intracranial hypotension. Remarkable advances have been made in the diagnosis and treatment of these 2entities in recent years. Therefore, the Spanish Society of Neurology's Headache Study Group (GECSEN) deemed it necessary to prepare this consensus statement, including diagnostic and therapeutic algorithms to facilitate and improve the management of these disorders in clinical practice. This document was created by a committee of experts belonging to GECSEN, and is based on a systematic review of the literature, incorporating the experience of the participants, and establishes practical recommendations with levels of evidence and grades of recommendation.",Neurologia,2025-,"García-Ull J, González-García N, Torres-Ferrús M, García-Azorín D, Molina-Martínez IFJ, Beltrán-Blasco I, Santos-Lasaosa S, Latorre G, Gago-Veiga AB, Láinez JM, Porta-Etessam J, Nieves-Castellanos C, Mínguez-Olaondo A, López-Bravo A, Quintas S, Morollón N, Díaz-Insa S, Belvís R, Irimia P",19,765,neurology,2025-11-22
38863385,World Federation of Neurology.,"To acknowledge the occasion of the 10th anniversary of the formation of the European Academy of Neurology (EAN), the World Federation of Neurology was invited to contribute its perspective on the formation of the EAN and its activities over the past decade. This article is based on the experiences of the author in several functions with the European Union of Medical Specialists, the European Federation of Neurology and the European Neurological Society and with the World Federation of Neurology as a trustee since 2009. This article is supported by the author's own archive as well as by several publications. The formation of the EAN was influenced by the activities of the two main predecessor societies, the European Neurological Society and European Federation of Neurology, which left an imprint on the structure of the EAN. The newly formed EAN underwent rigorous structural and organizational changes and has been acting as a successful and independent regional society, expanding increasingly in worldwide activities. The EAN, with its 47 member countries, strong democratic leadership and structure, is an excellent example of a regional society with expanding global influence that uses its advocacy skills to influence and improve the structure of neurology in Europe.",European journal of neurology,2024-Nov,Grisold W,1,1284,neurology,2025-11-22
34215381,Neurology in a Pandemic.,"The adaption of online or virtual technologies to deliver care, to meet professionally, and to interview has transformed child neurology. Although these technologies were brought to bear out of necessity, it is hoped that in a postpandemic world, these useful tools will continue to benefit the field. Here we discuss the tools and their future.",Neurologic clinics,2021-Aug,"Clark GD, Lotze TE",2,345,neurology,2025-11-22
