pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
36075878,Non-small cell lung cancer in China.,"In China, lung cancer is a primary cancer type with high incidence and mortality. Risk factors for lung cancer include tobacco use, family history, radiation exposure, and the presence of chronic lung diseases. Most early-stage non-small cell lung cancer (NSCLC) patients miss the optimal timing for treatment due to the lack of clinical presentations. Population-based nationwide screening programs are of significant help in increasing the early detection and survival rates of NSCLC in China. The understanding of molecular carcinogenesis and the identification of oncogenic drivers dramatically facilitate the development of targeted therapy for NSCLC, thus prolonging survival in patients with positive drivers. In the exploration of immune escape mechanisms, programmed cell death protein 1 (PD-1)/programmed death-ligand 1 (PD-L1) inhibitor monotherapy and PD-1/PD-L1 inhibitor plus chemotherapy have become a standard of care for advanced NSCLC in China. In the Chinese Society of Clinical Oncology's guidelines for NSCLC, maintenance immunotherapy is recommended for locally advanced NSCLC after chemoradiotherapy. Adjuvant immunotherapy and neoadjuvant chemoimmunotherapy will be approved for resectable NSCLC. In this review, we summarized recent advances in NSCLC in China in terms of epidemiology, biology, molecular pathology, pathogenesis, screening, diagnosis, targeted therapy, and immunotherapy.","Cancer communications (London, England)",2022-Oct,"Chen P, Liu Y, Wen Y, Zhou C",4,1413,oncology,2025-11-22
32133724,Artificial intelligence in oncology.,"Artificial intelligence (AI) has contributed substantially to the resolution of a variety of biomedical problems, including cancer, over the past decade. Deep learning, a subfield of AI that is highly flexible and supports automatic feature extraction, is increasingly being applied in various areas of both basic and clinical cancer research. In this review, we describe numerous recent examples of the application of AI in oncology, including cases in which deep learning has efficiently solved problems that were previously thought to be unsolvable, and we address obstacles that must be overcome before such application can become more widespread. We also highlight resources and datasets that can help harness the power of AI for cancer research. The development of innovative approaches to and applications of AI will yield important insights in oncology in the coming decade.",Cancer science,2020-May,"Shimizu H, Nakayama KI",2,882,oncology,2025-11-22
39419054,"Induction chemotherapy followed by standard chemoradiotherapy versus standard chemoradiotherapy alone in patients with locally advanced cervical cancer (GCIG INTERLACE): an international, multicentre, randomised phase 3 trial.","Locally advanced cervical cancer is treated with chemoradiotherapy (standard of care), but many patients still relapse and die from metastatic disease. We investigated chemoradiotherapy with or without induction chemotherapy to determine whether induction chemotherapy improves both progression-free survival and overall survival. The INTERLACE trial was a multicentre, randomised phase 3 trial done at 32 medical centres in Brazil, India, Italy, Mexico, and the UK. Adults (aged ≥18 years) with locally advanced cervical cancer (FIGO 2008 stage IB1 disease with nodal involvement, or stage IB2, IIA, IIB, IIIB, or IVA disease) were randomly assigned (1:1), by minimisation, using a central electronic system, to standard cisplatin-based chemoradiotherapy (once-a-week intravenous cisplatin 40 mg/m<sup>2</sup> for 5 weeks with 45·0-50·4 Gy external beam radiotherapy delivered in 20-28 fractions plus brachytherapy to achieve a minimum total 2 Gy equivalent dose of 78-86 Gy) alone or induction chemotherapy (once-a-week intravenous carboplatin area under the receiver operator curve 2 and paclitaxel 80 mg/m<sup>2</sup> for 6 weeks) followed by standard cisplatin-based chemoradiotherapy. Stratification factors were recruiting site, stage, nodal status, three-dimensional conformal radiotherapy or intensity modulated radiotherapy, age, tumour size, and histology (squamous vs non-squamous). Primary endpoints were progression-free survival and overall survival within the intention-to-treat population. This trial is registered with ClinicalTrials.gov, NCT01566240, and EUDRACT, 2011-001300-35. Between Nov 8, 2012, and Nov 17, 2022, 500 eligible patients were enrolled and randomly assigned to the chemoradiotherapy alone group (n=250) or the induction chemotherapy with chemoradiotherapy group. Of 500 patients, 354 (70%) had stage IIB disease and 56 (11%) stage IIIB disease. Pelvic lymph nodes were positive in 215 (43%) patients. 230 (92%) patients who received induction chemotherapy had at least five cycles. Median interval between induction chemotherapy and chemoradiotherapy was 7 days. Four or more cycles of cisplatin were given to 212 (85%) participants in the induction chemotherapy with chemoradiotherapy group and to 224 (90%) of participants in the chemoradiotherapy alone group. 462 (92%) participants received external beam radiotherapy and brachytherapy with a median overall treatment time of 45 days. After a median follow-up of 67 months, 5-year progression-free survival rates were 72% in the induction chemotherapy with chemoradiotherapy group and 64% in the chemoradiotherapy alone group with a hazard ratio (HR) of 0·65 (95% CI 0·46-0·91, p=0·013). 5-year overall survival rates were 80% in the induction chemotherapy with chemoradiotherapy group and 72% in the chemoradiotherapy alone group, with an HR of 0·60 (95% CI 0·40-0·91, p=0·015). Grade 3 or greater adverse events were reported in 147 (59%) of 250 individuals in the induction chemotherapy with chemoradiotherapy group versus 120 (48%) of 250 individuals in the chemoradiotherapy alone group. Short-course induction chemotherapy followed by chemoradiotherapy significantly improves survival of patients with locally advanced cervical cancer. Cancer Research UK and University College London-University College London Hospitals Biomedical Research Centre.","Lancet (London, England)",2024-Oct,"McCormack M, Eminowicz G, Gallardo D, Diez P, Farrelly L, Kent C, Hudson E, Panades M, Mathew T, Anand A, Persic M, Forrest J, Bhana R, Reed N, Drake A, Adusumalli M, Mukhopadhyay A, King M, Whitmarsh K, McGrane J, Colombo N, Mak C, Mandal R, Chowdhury RR, Alamilla-Garcia G, Chávez-Blanco A, Stobart H, Feeney A, Vaja S, Hacker AM, Hackshaw A, Ledermann JA",32,3346,oncology,2025-11-22
35323350,Non-Small-Cell Lung Cancer in 2022: A Review for General Practitioners in Oncology.,"Lung cancer is the leading cause of cancer death in Canada and a significant cause of morbidity for patients and their loved ones. There have been rapid advances in preventing, screening and treating this disease. Here, we present a contemporary review of treatment of non-small cell lung cancer in Canada based on current best practices. The focus of this review is to highlight recent data in screening for lung cancer, management of patients with early and locally-advanced non-small cell lung cancer, as well as management of patients with metastatic disease. There is a special focus on the incorporation of immunotherapy into practice and its associated toxicities.","Current oncology (Toronto, Ont.)",2022-Mar,"Mithoowani H, Febbraro M",2,671,oncology,2025-11-22
32489253,Radiotherapy side effects: integrating a survivorship clinical lens to better serve patients.,"The Canadian Cancer Society estimated that 220,400 new cases of cancer would be diagnosed in 2019. Of the affected patients, more than 60% will survive for 5 years or longer after their cancer diagnosis. Furthermore, nearly 40% will receive at least 1 course of radiotherapy (rt). Radiotherapy is used with both curative and palliative intent: to treat early-stage or locally advanced tumours (curative) and for symptom management in advanced disease (palliative). It can be delivered systemically (external-beam rt) or internally (brachytherapy). Although technique improvements have drastically reduced the occurrence of rt-related toxicity, most patients still experience burdensome rt side effects (seffs). Radiotherapy seffs are local or locoregional, and manifest in tissues or organs that were irradiated. Side effects manifesting within weeks after rt completion are termed ""early seffs,"" and those occurring months or years after treatment are termed ""late seffs."" In addition to radiation oncologists, general practitioners in oncology and primary care providers are involved in survivorship care and management of rt seffs. Here, we present an overview of common seffs and their respective management: anxiety, depression, fatigue, and effects related to the head-and-neck, thoracic, and pelvic treatment sites.","Current oncology (Toronto, Ont.)",2020-Apr,"Dilalla V, Chaput G, Williams T, Sultanem K",4,1322,oncology,2025-11-22
32368178,"A review of cancer immunotherapy: from the past, to the present, to the future.","Compared with previous standards of care (including chemotherapy, radiotherapy, and surgery), cancer immunotherapy has brought significant improvements for patients in terms of survival and quality of life. Immunotherapy has now firmly established itself as a novel pillar of cancer care, from the metastatic stage to the adjuvant and neoadjuvant settings in numerous cancer types. In this review article, we highlight how the history of cancer immunotherapy paved the way for discoveries that are now part of the standard of care. We also highlight the current pitfalls and limitations of cancer checkpoint immunotherapy and how novel research in the fields of personalized cancer vaccines, autoimmunity, the microbiome, the tumour microenvironment, and metabolomics is aiming to solve those challenges.","Current oncology (Toronto, Ont.)",2020-Apr,"Esfahani K, Roudaia L, Buhlaiga N, Del Rincon SV, Papneja N, Miller WH",6,804,oncology,2025-11-22
31928434,Cardio-Immuno-Oncology.,Applying novel technology developed in immuno-oncology to cardiovascular biology and disease may be transformative.,Circulation,2020-Jan,"Zaha VG, Meijers WC, Moslehi J",3,115,oncology,2025-11-22
37566213,Cardio-oncology in China.,"Cardio-oncology is going under rapid development in various areas across an increasing number of provinces in China. However there are still a myriad of challenges that need to be overcome in order to ensure its gradual and consistent expansion. The Cardio-Oncology Knowledge Transfer Model (KTM) forms the basis to allow exponential development of effective cardio-oncology services. This would ensure the implementation of precision-based practice while dynamically evolving cardio-oncology to integrate both Western and Chinese medical practices to become an official clinical sub-speciality in its own right in China, for the ultimate benefit of the patient.",Current treatment options in oncology,2023-Oct,"Sharma K, Wang S, Liu Y, Zhang Y, Liu T, Zhang Q, Zhong Q",7,662,oncology,2025-11-22
37432086,Interventional Oncology: 2043 and Beyond.,"Interventional oncology is a subspecialty of interventional radiology focused on treating patients with cancer using minimally invasive, image-guided procedures. The role of interventional oncology has become so integral for supporting patients with cancer that many consider it the fourth pillar of oncology-a recent addition to the traditional pillars of medical oncology, surgery, and radiation oncology. As highlighted herein, the authors predict opportunities for growth in precision oncology, immunotherapy, advanced imaging, and novel interventions, facilitated by emergent technologies like artificial intelligence, gene editing, molecular imaging, and robotics. Beyond these technological breakthroughs, however, the defining characteristic of interventional oncology in 2043 will be a well-developed clinical and research infrastructure that enables greater integration of interventional oncology procedures into standard practice.",Radiology,2023-Jul,"Elsayed M, Solomon SB",2,941,oncology,2025-11-22
39348001,Cardio-oncology: chances and challenges.,"Cardio-oncology is an emerging field that aims to ensure optimal cancer treatment while minimising cardiovascular toxicity. The management of cardiovascular toxicity is critical because it can lead to premature discontinuation of treatment, increasing the risk of cancer recurrence and mortality. The 2022 European Society of Cardiology guidelines were a milestone in advocating a patient-centred, multidisciplinary approach. Key components include risk stratification and a standardised criterion for adverse events, incorporating definitions from the International Cardio-Oncology Society. Effective risk stratification, supported by imaging and biomarkers, helps to anticipate cardiovascular problems and implement preventive measures. Future research should focus on understanding mechanisms, developing preventive strategies and implementing personalised medicine. Education and reducing disparities in care are essential to advance cardio-oncology and improve patient outcomes.",Basic research in cardiology,2025-Feb,"Viñas-Mendieta AE, Gallardo-Grajeda A, López-Fernández T",3,983,oncology,2025-11-22
