pmid,title,abstract,journal,publication_date,authors,num_authors,abstract_length,specialty,collection_date
36273933,Diagnosis and Treatment of Pleural Effusion. Recommendations of the Spanish Society of Pulmonology and Thoracic Surgery. Update 2022.,"Pleural effusion (PE) is a common yet complex disease that requires specialized, multidisciplinary management. Recent advances, novel diagnostic techniques, and innovative patient-centered therapeutic proposals have prompted an update of the current guidelines. This document provides recommendations and protocols based on a critical review of the literature on the epidemiology, etiology, diagnosis, prognosis, and new therapeutic options in PE, and addresses some cost-effectiveness issues related to the main types of PE.",Archivos de bronconeumologia,2023-Jan,"Botana Rial M, Pérez Pallarés J, Cases Viedma E, López González FJ, Porcel JM, Rodríguez M, Romero Romero B, Valdés Cuadrado L, Villena Garrido V, Cordovilla Pérez R",10,525,pulmonology,2025-11-22
39060018,ERS statement on benign pleural effusions in adults.,"The incidence of non-malignant pleural effusions far outweighs that of malignant pleural effusions and is estimated to be at least 3-fold higher. These so-called benign effusions do not follow a ""benign course"" in many cases, with mortality rates matching and sometimes exceeding those of malignant pleural effusions. In addition to the impact on patients, healthcare systems are also significantly affected, with recent US epidemiological data demonstrating that 75% of resource allocation for pleural effusion management is spent on non-malignant pleural effusions (excluding empyema). Despite this significant burden of disease, and by existing at the junction of multiple medical specialties, reflecting a heterogenous constellation of medical conditions, non-malignant pleural effusions are rarely the focus of research or the subject of management guidelines. With this European Respiratory Society Task Force, we assembled a multispecialty collaborative across 11 countries and three continents to provide a statement based on systematic searches of the medical literature to highlight evidence in the management of the following clinical areas: a diagnostic approach to transudative effusions, heart failure, hepatic hydrothorax, end-stage renal failure, benign asbestos-related pleural effusion, post-surgical effusion and nonspecific pleuritis.",The European respiratory journal,2024-Dec,"Sundaralingam A, Grabczak EM, Burra P, Costa MI, George V, Harriss E, Jankowska EA, Janssen JP, Karpathiou G, Laursen CB, Maceviciute K, Maskell N, Mei F, Nagavci B, Panou V, Pinelli V, Porcel JM, Ricciardi S, Shojaee S, Welch H, Zanetto A, Udayaraj UP, Cardillo G, Rahman NM",24,1354,pulmonology,2025-11-22
38812262,World Association for Bronchology and Interventional Pulmonology (WABIP) guidelines on airway stenting for malignant central airway obstruction.,"Malignant Central Airway Obstruction (MCAO) encompasses significant and symptomatic narrowing of the central airways that can occur due to primary lung cancer or metastatic disease. Therapeutic bronchoscopy is associated with high technical success and symptomatic relief and includes a wide range of airway interventions including airway stents. Published literature suggests that stenting practices vary significantly across the world primarily due to lack of guidance. This document aims to address this knowledge gap by addressing relevant questions related to airway stenting in MCAO. An international group of 17 experts from 17 institutions across 11 countries with experience in using airway stenting for MCAO was convened as part of this guideline statement through the World Association for Bronchology and Interventional Pulmonology (WABIP). We performed a literature and internet search for reports addressing six clinically relevant questions. This guideline statement, consisting of recommendations addressing these six PICO questions, was formulated by a systematic and rigorous process involving the evaluation of published evidence, augmented with expert experience when necessary. Panel members participated in the development of the final recommendations using the modified Delphi technique.","Respirology (Carlton, Vic.)",2024-Jul,"Chaddha U, Agrawal A, Kurman J, Ortiz-Comino R, Dutau H, Freitag L, Trisolini R, Dooms C, Zuccatosta L, Gasparini S, Herth F, Saka H, Lee P, Fielding D, Oki M, Rosell A, Murgu S",17,1310,pulmonology,2025-11-22
38719772,European Respiratory Society clinical practice guideline on symptom management for adults with serious respiratory illness.,"Respiratory symptoms are ubiquitous and impair health-related quality of life in people with respiratory disease. This European Respiratory Society (ERS) task force aimed to provide recommendations for symptomatic treatment in people with serious respiratory illness. The ERS task force comprised 16 members, including representatives of people with serious respiratory illness and informal caregivers. Seven questions were formulated, six in the PICO (Population, Intervention, Comparison, Outcome) format, which were addressed with full systematic reviews and evidence assessed using GRADE (Grading of Recommendations Assessment, Development and Evaluation). One question was addressed narratively. An ""evidence-to-decision"" framework was used to formulate recommendations. To treat symptoms in people with serious respiratory illness, the task force suggests the use of graded exercise therapy (conditional recommendation, low certainty of evidence); and suggests the use of a multicomponent services, handheld fan and breathing techniques (conditional recommendations, very low certainty of evidence). The task force suggests not to use opioids (conditional recommendation, very low certainty of evidence); and suggests either administering or not administering supplemental oxygen therapy (conditional recommendation, low certainty of evidence). The task force suggests that needs assessment tools may be used as part of a comprehensive needs assessment, but do not replace patient-centred care and shared decision making (conditional recommendation, low certainty of evidence). The low certainty of evidence, modest impact of interventions on patient-centred outcomes, and absence of effective strategies to ameliorate cough highlight the need for new approaches to reduce symptoms and enhance wellbeing for individuals who live with serious respiratory illness.",The European respiratory journal,2024-Jun,"Holland AE, Spathis A, Marsaa K, Bausewein C, Ahmadi Z, Burge AT, Pascoe A, Gadowski AM, Collis P, Jelen T, Reilly CC, Reinke LF, Romero L, Russell AM, Saggu R, Solheim J, Vagheggini G, Vandendungen C, Wijsenbeek M, Tonia T, Smallwood N, Ekström M",22,1868,pulmonology,2025-11-22
33618053,Artificial Intelligence/Machine Learning in Respiratory Medicine and Potential Role in Asthma and COPD Diagnosis.,"Artificial intelligence (AI) and machine learning, a subset of AI, are increasingly used in medicine. AI excels at performing well-defined tasks, such as image recognition; for example, classifying skin biopsy lesions, determining diabetic retinopathy severity, and detecting brain tumors. This article provides an overview of the use of AI in medicine and particularly in respiratory medicine, where it is used to evaluate lung cancer images, diagnose fibrotic lung disease, and more recently is being developed to aid the interpretation of pulmonary function tests and the diagnosis of a range of obstructive and restrictive lung diseases. The development and validation of AI algorithms requires large volumes of well-structured data, and the algorithms must work with variable levels of data quality. It is important that clinicians understand how AI can function in the context of heterogeneous conditions such as asthma and chronic obstructive pulmonary disease where diagnostic criteria overlap, how AI use fits into everyday clinical practice, and how issues of patient safety should be addressed. AI has a clear role in providing support for doctors in the clinical workplace, but its relatively recent introduction means that confidence in its use still has to be fully established. Overall, AI is expected to play a key role in aiding clinicians in the diagnosis and management of respiratory diseases in the future, and it will be exciting to see the benefits that arise for patients and doctors from its use in everyday clinical practice.",The journal of allergy and clinical immunology. In practice,2021-Jun,"Kaplan A, Cao H, FitzGerald JM, Iannotti N, Yang E, Kocks JWH, Kostikas K, Price D, Reddel HK, Tsiligianni I, Vogelmeier CF, Pfister P, Mastoridis P",13,1551,pulmonology,2025-11-22
34964566,Pediatric pulmonology 2020 year in review: Rare and diffuse lung disease.,"Pediatric Pulmonology publishes original research, review articles, and case reports on topics related to a wide range of children's respiratory disorders. Here we review some of the most notable manuscripts published in 2020 in this journal on (1) children's interstitial lung disease (chILD), (2) congenital airway and lung anomalies, and (3) primary ciliary dyskinesia and other non-cystic fibrosis bronchiectasis. The articles reviewed are discussed in context with published works from other journals.",Pediatric pulmonology,2022-Apr,"Vece TJ, Popler J, Gower WA",3,506,pulmonology,2025-11-22
32554758,Interventional pulmonology: between ambition and wisdom.,"<b>Interventional pulmonology has undergone amazing ambitious changes and innovations over the past decades, which have to find their place in a wise multidisciplinary management of respiratory diseases</b> https://bit.ly/3dD237L",European respiratory review : an official journal of the European Respiratory Society,2020-Jun,"Dutau H, Feller-Kopman D",2,229,pulmonology,2025-11-22
34845140,Anesthesia for interventional pulmonology.,"Anesthesia for pulmonological interventions is a demanding challenge. This article discusses recent innovations and the implications for periinterventional anesthetic management. Interventional pulmonology is a rapidly expanding specialty with very complex diagnostic and therapeutic approaches that include oncological staging, treatment of obstructive and restrictive lung diseases, recanalization of endobronchial obstructions, and retrieval of foreign bodies. With the development of advanced diagnostic and therapeutic interventions, the application is extended to critically ill patients. Current evidence focusing on the anesthetic techniques is presented here. The development of new pulmonological methods requires a tailored anesthesiological approach. Their specific impact must be taken into account to ensure patient safety, goal-oriented outcome diagnostics and -quality, successful interventions, and patient comfort.",Current opinion in anaesthesiology,2022-Feb,"Semmelmann A, Loop T",2,932,pulmonology,2025-11-22
38991719,ERJ Advances: interventional bronchoscopy.,<b>This ERJ Advances article summarises the latest developments in the rapidly advancing field of interventional bronchoscopy</b> https://bit.ly/44Qvgrm,The European respiratory journal,2024-Jul,"Garner JL, Shah PL, Herth F, Slebos DJ",4,152,pulmonology,2025-11-22
37997890,Pulmonology for the rhinologist.,"The upper and lower airways are inter-related despite serving different functions and can no longer be considered separately. Rhinologists are becoming increasingly aware of the role the lower airway plays in optimizing outcomes for their patients. This review highlights recent developments in pulmonology that impact rhinologic conditions. The unified airway concept now supports the multidisciplinary management of respiratory and rhinologic pathologies. Biomarkers, biologics and the concept of treatable traits have permitted the development of personalized and precise treatment of the entire respiratory tract. The concept of corticosteroid stewardship, the introduction of steroid sparing agents for the treatment of respiratory diseases and the development of biomarkers, now forces us to be more considerate and precise with oral corticosteroid (OCS) prescribing and to consider reduction regimens. Finally, current research on climate change and vaping will allow us to better educate and prepare our patients to improve adherence and avoid exacerbations to maintain optimal global respiratory health. The inter-relatedness of the upper and lower airway has encouraged a multidisciplinary focus in respiratory medicine. More research is required to improve the precision respiratory medicine model, particularly in the realm of biomarkers and endotyping. These developments must also consider the impact of climate change, pollution and toxins for us to provide optimum care for our patients.",Current opinion in otolaryngology & head and neck surgery,2024-Feb,"Campbell RG, Auyeung T, Katsoulotos GP",3,1503,pulmonology,2025-11-22
